2026-09-13T21:50:58Z INFO Logging to /tmp/logs/update_2026-09-13T21-50-58Z.log.
2026-09-13T21:50:58Z INFO Processing 354 newly valid content IDs.
2026-09-13T21:53:41Z INFO [36/354] 24643f24-f6d2-4ce1-b3cf-e67988860b90: 22 groups (HDF5, 84.1 MB; 0.7 s; peak memory 265 MiB)
2026-09-13T21:53:42Z INFO [37/354] 26a92b9f-4f87-410e-8225-06858b1760f5: 22 groups (HDF5, 84.1 MB; 0.7 s; peak memory 265 MiB)
2026-09-13T21:53:43Z INFO [38/354] 2786a49d-8fe6-4e75-a46c-61eacbd870e7: 17 groups (HDF5, 0.7 MB; 0.7 s; peak memory 265 MiB)
2026-09-13T21:53:44Z INFO [39/354] 28aa0de9-34a8-49f5-97e9-7b7d866b5c14: 32 groups (HDF5, 0.8 MB; 0.8 s; peak memory 265 MiB)
2026-09-13T21:53:49Z INFO [40/354] 29225309-8c78-4d26-9ec4-f4d971fdee17: 103 groups (HDF5, 16.4 MB; 5.1 s; peak memory 265 MiB)
2026-09-13T21:53:50Z INFO [41/354] 295211d3-99c1-471b-9e54-fc4e037a382e: 32 groups (HDF5, 1.0 MB; 0.9 s; peak memory 265 MiB)
2026-09-13T21:53:53Z INFO [42/354] 2abeccc1-74e7-42e3-838e-4f43e956af08: 73 groups (HDF5, 237.1 MB; 3.9 s; peak memory 265 MiB)
2026-09-13T21:53:54Z INFO [43/354] 2b1efb66-fb7f-4af9-9aaa-2fc926c0a168: 32 groups (HDF5, 1.1 MB; 0.9 s; peak memory 265 MiB)
2026-09-13T21:53:55Z INFO [44/354] 2b8a1fe8-1816-4b1d-8549-b1d689f814cf: 22 groups (HDF5, 84.1 MB; 0.7 s; peak memory 265 MiB)
2026-09-13T21:53:56Z INFO [45/354] 2c433aa6-4bc3-4243-b46c-186d69107f07: 32 groups (HDF5, 0.9 MB; 0.8 s; peak memory 265 MiB)
2026-09-13T21:53:58Z INFO [46/354] 2d27552d-d439-42ba-95fb-b248c4b80c51: 108 groups (HDF5, 16.1 MB; 2.7 s; peak memory 265 MiB)
2026-09-13T21:53:59Z INFO [47/354] 2f0469b0-81a0-4666-955b-6a919f783cf2: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 265 MiB)
2026-09-13T21:54:00Z INFO [48/354] 3030dfe4-472c-40a8-895d-c68a46647b91: 33 groups (HDF5, 0.8 MB; 0.9 s; peak memory 265 MiB)
2026-09-13T21:54:01Z INFO [49/354] 30ef453c-ae90-45d1-a856-527ed463463b: 202 groups (HDF5, 53.3 MB; 1.1 s; peak memory 265 MiB)
2026-09-13T21:54:02Z INFO [50/354] 31b4d58b-7ec1-4a9e-95e0-3988fdc0e311: 18 groups (HDF5, 0.2 MB; 0.4 s; peak memory 265 MiB)
2026-09-13T21:54:03Z INFO [51/354] 31d6d7cb-8b50-4721-bdf1-ff517f0b7f75: 43 groups (HDF5, 550.9 MB; 1.1 s; peak memory 265 MiB)
2026-09-13T21:54:04Z INFO [52/354] 31ecc19e-33d0-4c1d-952c-fd24b0351528: 32 groups (HDF5, 1.5 MB; 0.9 s; peak memory 265 MiB)
2026-09-13T21:54:04Z INFO [53/354] 33d2e8d9-5139-4e3f-aa24-2f638b4e916e: 22 groups (HDF5, 84.1 MB; 0.8 s; peak memory 265 MiB)
2026-09-13T21:54:06Z INFO [54/354] 343f4986-8839-47fc-b939-6f4c521e470e: 48 groups (HDF5, 68.5 MB; 2.0 s; peak memory 265 MiB)
2026-09-13T21:54:08Z INFO [55/354] 346a1258-30bb-4a8d-91f9-35538d390e33: 18 groups (HDF5, 1.0 MB; 1.2 s; peak memory 265 MiB)
2026-09-13T21:54:08Z INFO [56/354] 36675f67-2580-4509-b1bf-05abe73e864a: 30 groups (HDF5, 0.2 MB; 0.5 s; peak memory 265 MiB)
2026-09-13T21:54:17Z INFO [57/354] 36dd740d-94ab-41b0-a304-4a298a98bdea: 88 groups (HDF5, 4167.3 MB; 8.7 s; peak memory 265 MiB)
2026-09-13T21:54:18Z INFO [58/354] 370bf815-62d6-45ff-839c-c4e6e59b0ded: 22 groups (HDF5, 84.1 MB; 0.9 s; peak memory 265 MiB)
2026-09-13T21:54:18Z INFO [59/354] 37a722b8-604d-440e-b3fa-a450a7c30127: 18 groups (HDF5, 0.2 MB; 0.6 s; peak memory 265 MiB)
2026-09-13T21:54:19Z INFO [60/354] 38f55514-1dd6-4b6c-a391-ebf884645241: 30 groups (HDF5, 0.2 MB; 0.6 s; peak memory 265 MiB)
2026-09-13T21:54:20Z INFO [61/354] 3a519ff2-3c56-4728-8ee3-85c1668b7d33: 22 groups (HDF5, 84.1 MB; 0.7 s; peak memory 265 MiB)
2026-09-13T21:54:20Z INFO [62/354] 3a57d745-c8b7-45d2-b6fb-728ee96de152: 28 groups (HDF5, 3.7 MB; 0.6 s; peak memory 265 MiB)
2026-09-13T21:54:21Z INFO [63/354] 3b65d633-13a7-4130-ba8c-fc805926558c: 36 groups (HDF5, 3060.8 MB; 1.0 s; peak memory 265 MiB)
2026-09-13T21:54:25Z INFO [64/354] 3c459051-8741-4f71-8f9d-df8d8ce1a27d: 191 groups (HDF5, 9.5 MB; 4.1 s; peak memory 265 MiB)
2026-09-13T21:54:26Z INFO [65/354] 3e57a8cf-6f72-4db4-a14e-5da0083fef6d: 17 groups (HDF5, 0.2 MB; 0.6 s; peak memory 265 MiB)
2026-09-13T21:54:27Z INFO [66/354] 3eb2c46e-fe96-4186-865f-920b440e7ab1: 207 groups (HDF5, 4.6 MB; 1.2 s; peak memory 265 MiB)
2026-09-13T21:54:28Z INFO [67/354] 410c49d3-89d4-4266-8ac6-50bc46a3239e: 22 groups (HDF5, 84.1 MB; 0.7 s; peak memory 265 MiB)
2026-09-13T21:54:30Z INFO [68/354] 412c37ab-94ae-468b-a05f-401e3f932c28: 60 groups (HDF5, 30.7 MB; 2.1 s; peak memory 265 MiB)
2026-09-13T21:54:31Z INFO [69/354] 4146cdae-66c4-4291-a82f-6faa5708a5f2: 22 groups (HDF5, 84.1 MB; 0.7 s; peak memory 265 MiB)
2026-09-13T21:54:31Z INFO [70/354] 41f2df73-7dfd-4eef-a3fe-05867d744490: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 265 MiB)
2026-09-13T21:54:32Z INFO [71/354] 4415b4ef-237e-4b07-a5dd-793fa4060ac4: 28 groups (HDF5, 0.9 MB; 0.7 s; peak memory 265 MiB)
2026-09-13T21:54:42Z INFO [72/354] 45141319-2f59-4cb4-9984-fe7d963b13c7: 41 groups (HDF5, 189.7 MB; 9.9 s; peak memory 265 MiB)
2026-09-13T21:54:43Z INFO [73/354] 46047179-7600-4bb4-951b-000e34692d2e: 32 groups (HDF5, 1.0 MB; 1.0 s; peak memory 265 MiB)
2026-09-13T21:54:50Z INFO [74/354] 461d7098-e7b2-481b-be6b-2b2a86b75bc9: 120 groups (HDF5, 48.5 MB; 6.5 s; peak memory 265 MiB)
2026-09-13T21:54:50Z INFO [75/354] 471c816b-bc2e-4b16-b1e2-6d38f70fff83: 24 groups (HDF5, 0.9 MB; 0.6 s; peak memory 265 MiB)
2026-09-13T21:54:52Z INFO [76/354] 48f3e1fc-8f22-4116-94c4-8114dc4a7d1a: 33 groups (HDF5, 9.8 MB; 1.3 s; peak memory 265 MiB)
2026-09-13T21:54:53Z INFO [77/354] 49076cb5-ef88-4d06-8caa-363274f4bb7f: 36 groups (HDF5, 4673.9 MB; 1.1 s; peak memory 265 MiB)
2026-09-13T21:55:19Z INFO [78/354] 49084aeb-87f2-4fd0-9747-9eed143902d3: 26 groups (HDF5, 1969.9 MB; 26.1 s; peak memory 265 MiB)
2026-09-13T21:55:21Z INFO [79/354] 49acc5eb-9ca0-4225-9513-d34dd34349f3: 48 groups (HDF5, 188.1 MB; 1.9 s; peak memory 265 MiB)
2026-09-13T21:57:54Z INFO [80/354] 49c4369d-09b6-44bc-82bb-c3f3ff41afbd: 39 groups (HDF5, 26540.9 MB; 153.1 s; peak memory 418 MiB)
2026-09-13T21:57:55Z INFO [81/354] 4c2be790-b23b-40fc-9383-1124e7fa1384: 103 groups (HDF5, 1.7 MB; 1.1 s; peak memory 418 MiB)
2026-09-13T21:57:56Z INFO [82/354] 4c787fbd-c67b-4e00-a189-598119fc3000: 33 groups (HDF5, 0.8 MB; 0.8 s; peak memory 418 MiB)
2026-09-13T21:57:56Z INFO [83/354] 4cba5e97-a235-4623-8d47-7dc229a4572c: 29 groups (HDF5, 10.0 MB; 0.8 s; peak memory 418 MiB)
2026-09-13T21:57:58Z INFO [84/354] 4d439f21-231b-4010-9992-a3e5ac10ee7c: 54 groups (HDF5, 324.3 MB; 1.6 s; peak memory 418 MiB)
2026-09-13T21:57:59Z INFO [85/354] 4dbc4acf-88bd-44fa-ae78-0f410e146e4d: 29 groups (HDF5, 3315.8 MB; 0.9 s; peak memory 418 MiB)
2026-09-13T21:57:59Z INFO [86/354] 4e34910c-0394-40da-b1c5-042254ab54c9: 31 groups (HDF5, 8.6 MB; 0.6 s; peak memory 418 MiB)
2026-09-13T21:58:01Z INFO [87/354] 4f47534c-6b46-4e0b-989d-d721a2544c42: 199 groups (HDF5, 143.2 MB; 1.4 s; peak memory 418 MiB)
2026-09-13T21:58:02Z INFO [88/354] 4f71e942-0905-4b23-ace9-ffe0f52122c4: 52 groups (HDF5, 1.7 MB; 1.1 s; peak memory 418 MiB)
2026-09-13T21:58:03Z INFO [89/354] 4f8930bd-d55d-4733-bb94-382a651a72c8: 32 groups (HDF5, 1.1 MB; 0.8 s; peak memory 418 MiB)
2026-09-13T21:58:08Z INFO [90/354] 4f9671a4-7b97-4cb5-a168-132761794509: 194 groups (HDF5, 37.3 MB; 5.6 s; peak memory 418 MiB)
2026-09-13T21:58:09Z INFO [91/354] 4fbad59c-8b27-4cf9-a4c4-ad3ea6a959af: 195 groups (HDF5, 3.8 MB; 0.9 s; peak memory 418 MiB)
2026-09-13T21:58:21Z INFO [92/354] 4fe269a2-9b59-4eec-bab0-00ebb4f3c222: 89 groups (HDF5, 1044.6 MB; 11.3 s; peak memory 418 MiB)
2026-09-13T21:58:29Z INFO [93/354] 5004f054-5a34-440c-b4a7-788f9bdd5889: 76 groups (HDF5, 108.1 MB; 8.3 s; peak memory 418 MiB)
2026-09-13T21:58:33Z INFO [94/354] 50151823-f521-45af-b01f-e5bc468a792f: 146 groups (HDF5, 20.4 MB; 4.4 s; peak memory 418 MiB)
2026-09-13T21:58:34Z INFO [95/354] 50c22585-77bc-44d7-9290-a1ccc4fb557c: 22 groups (HDF5, 84.1 MB; 0.8 s; peak memory 418 MiB)
2026-09-13T21:58:35Z INFO [96/354] 50d4e345-6319-4635-b466-948e317389ce: 20 groups (HDF5, 2.7 MB; 1.1 s; peak memory 418 MiB)
2026-09-13T21:58:37Z INFO [97/354] 51d8cbf2-7aed-4f84-a342-70c6844eda1c: 66 groups (HDF5, 5.2 MB; 1.5 s; peak memory 418 MiB)
2026-09-13T21:58:38Z INFO [98/354] 520e3821-dc26-4847-8431-93a81f81f47c: 252 groups (HDF5, 1.4 MB; 1.0 s; peak memory 418 MiB)
2026-09-13T21:58:39Z INFO [99/354] 53bd430b-74c3-41a4-8a17-18f443cca0aa: 17 groups (HDF5, 34.7 MB; 1.6 s; peak memory 418 MiB)
2026-09-13T21:58:40Z INFO [100/354] 541f72b2-f2ac-4b54-a9ee-cd4827270c99: 22 groups (HDF5, 84.1 MB; 0.7 s; peak memory 418 MiB)
2026-09-13T21:58:44Z INFO [101/354] 548522f7-bdeb-4a1c-987f-d5998612bee2: 22 groups (HDF5, 4012.5 MB; 3.9 s; peak memory 418 MiB)
2026-09-13T21:58:45Z INFO [102/354] 5491da21-841e-4719-b420-da4d20b1cb9e: 22 groups (HDF5, 84.1 MB; 0.8 s; peak memory 418 MiB)
2026-09-13T21:58:48Z INFO [103/354] 5509d97f-95ee-46ed-950a-fd291b3a7779: 78 groups (HDF5, 965.2 MB; 3.7 s; peak memory 418 MiB)
2026-09-13T21:58:49Z INFO [104/354] 5542f8ea-bc7a-42bc-a2a4-76f7f7f861d9: 29 groups (HDF5, 9148.9 MB; 0.8 s; peak memory 418 MiB)
2026-09-13T21:58:50Z INFO [105/354] 555ed810-b76c-4c7b-8fea-280b6dffc98d: 253 groups (HDF5, 1.2 MB; 0.8 s; peak memory 418 MiB)
2026-09-13T21:58:51Z INFO [106/354] 55bc752a-4151-4853-bb91-9774c3826c37: 28 groups (HDF5, 1.3 MB; 0.8 s; peak memory 418 MiB)
2026-09-13T21:58:52Z INFO [107/354] 5635438c-c938-4bcd-b615-1764a6d71427: 29 groups (HDF5, 10.0 MB; 0.9 s; peak memory 418 MiB)
2026-09-13T21:58:53Z INFO [108/354] 57044703-20f0-4849-8bb5-9baf8c358848: 341 groups (HDF5, 131.0 MB; 1.4 s; peak memory 418 MiB)
2026-09-13T21:58:55Z INFO [109/354] 573eabe4-f736-46cf-a063-c4eb1540f953: 47 groups (HDF5, 305.2 MB; 1.7 s; peak memory 418 MiB)
2026-09-13T21:58:59Z INFO [110/354] 574ad9d4-cd83-4cad-84aa-36657c5469d0: 127 groups (HDF5, 20.0 MB; 4.3 s; peak memory 418 MiB)
2026-09-13T21:59:00Z INFO [111/354] 574e5ac6-dd86-431f-997d-09a56fa2eba8: 22 groups (HDF5, 84.1 MB; 0.7 s; peak memory 418 MiB)
