2026-09-23T19:16:29Z INFO Logging to /tmp/logs/update_2026-09-23T19-16-29Z.log.
2026-09-23T19:16:29Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-23T19:16:29Z INFO Processing 370 items (55049 already recorded).
2026-09-23T19:23:35Z INFO [39/370] 111e2ffd-9c88-4c2d-955d-55fcd198c1c4: 25 groups; 1.9 s; peak memory 269 MiB.
2026-09-23T19:23:37Z INFO [40/370] 111e8f49-9684-4706-9a03-2a9afea4f298: 19 groups; 1.4 s; peak memory 269 MiB.
2026-09-23T19:23:38Z INFO [41/370] 111eafa4-477c-40b1-aa86-ac56175ada6f: 103 groups; 1.9 s; peak memory 269 MiB.
2026-09-23T19:23:40Z INFO [42/370] 111ee66b-d724-44c0-a6c1-97b67bfa6532: 22 groups; 1.6 s; peak memory 269 MiB.
2026-09-23T19:23:42Z INFO [43/370] 111fd7a6-b2e4-42a8-b86b-b6475e660c0a: 32 groups; 1.7 s; peak memory 269 MiB.
2026-09-23T19:23:43Z INFO [44/370] 11223744-df8a-493f-8087-a6e19034e717: 103 groups; 1.6 s; peak memory 269 MiB.
2026-09-23T19:23:46Z INFO [45/370] 1122423f-2c69-4ecd-acaf-eaf3469937ae: 41 groups; 2.2 s; peak memory 269 MiB.
2026-09-23T19:24:08Z INFO [46/370] 1122e627-ee5f-4e6e-823c-f9bd66b2a4fa: 28 groups; 22.6 s; peak memory 269 MiB.
2026-09-23T19:24:10Z INFO [47/370] 11238af0-7a0d-47b0-9ac1-136eeb5e711b: 22 groups; 1.5 s; peak memory 269 MiB.
2026-09-23T19:24:12Z INFO [48/370] 11248fec-4279-4545-b7df-99e1bd75cfac: 104 groups; 2.1 s; peak memory 269 MiB.
2026-09-23T19:24:13Z INFO [49/370] 1125cab0-dfbd-4d26-8bf5-72f9ebade82d: 30 groups; 1.2 s; peak memory 269 MiB.
2026-09-23T19:24:19Z INFO [50/370] 112615da-c4a5-4c4a-b8df-8616bb7896f7: 17 groups; 5.9 s; peak memory 269 MiB.
2026-09-23T19:24:19Z INFO [50/370] 112615da-c4a5-4c4a-b8df-8616bb7896f7: checkpointed 55099 records.
2026-09-23T19:24:21Z INFO [51/370] 11269669-52e3-4ee4-a79c-09f29df8da2f: 32 groups; 1.7 s; peak memory 269 MiB.
2026-09-23T19:24:22Z INFO [52/370] 11269dbd-8def-4d2c-8565-91bcceadaf99: 17 groups; 1.3 s; peak memory 269 MiB.
2026-09-23T19:24:24Z INFO [53/370] 1126a903-2e29-4a0c-b2e3-ef27cc7b7dae: 22 groups; 1.6 s; peak memory 269 MiB.
2026-09-23T19:24:25Z INFO [54/370] 11271ebb-5fb1-423a-bb6d-106c5bb36dd0: 22 groups; 1.5 s; peak memory 269 MiB.
2026-09-23T19:24:27Z INFO [55/370] 11273913-4e94-4501-b466-d5ec53a71e3c: 25 groups; 1.5 s; peak memory 269 MiB.
2026-09-23T19:24:40Z INFO [56/370] 11277121-b52e-4d64-9450-4d8d2fce0311: 196 groups; 13.5 s; peak memory 269 MiB.
2026-09-23T19:27:06Z INFO [57/370] 1127a7ce-bf3e-456c-80e3-c673121e7f5f: 71 groups; 145.7 s; peak memory 271 MiB.
2026-09-23T19:27:08Z INFO [58/370] 1127d366-4639-4f2d-9332-d6df4f2c8d12: 35 groups; 1.7 s; peak memory 271 MiB.
2026-09-23T19:27:09Z INFO [59/370] 112832b9-29b4-419b-9ac2-54a4a465de05: 32 groups; 1.7 s; peak memory 271 MiB.
2026-09-23T19:27:11Z INFO [60/370] 112843ec-1fb6-4748-a09b-a8ae968fd095: 201 groups; 2.1 s; peak memory 271 MiB.
2026-09-23T19:27:13Z INFO [61/370] 112889ef-33e4-4a18-9f0f-dbaab43f6d4f: 28 groups; 1.3 s; peak memory 271 MiB.
2026-09-23T19:27:15Z INFO [62/370] 11290759-8d6b-422a-86c4-439c82c999ad: 195 groups; 1.9 s; peak memory 271 MiB.
2026-09-23T19:27:17Z INFO [63/370] 112918dc-9772-47cf-961a-93479f74b0b5: 32 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:27:19Z INFO [64/370] 112a3380-89d0-407c-9884-0767c71372a3: 199 groups; 2.6 s; peak memory 271 MiB.
2026-09-23T19:27:27Z INFO [65/370] 112b1603-e284-4fe9-94a0-408dd2307a38: 66 groups; 7.9 s; peak memory 271 MiB.
2026-09-23T19:27:35Z INFO [66/370] 112b3241-b650-4ba0-a887-06a94eb4c8bc: 142 groups; 7.2 s; peak memory 271 MiB.
2026-09-23T19:27:38Z INFO [67/370] 112b642d-ec46-41bb-8467-a9e9ca367795: 53 groups; 3.8 s; peak memory 271 MiB.
2026-09-23T19:27:58Z INFO [68/370] 112be15f-0093-492a-81e4-865d09b4422c: 221 groups; 19.8 s; peak memory 271 MiB.
2026-09-23T19:28:16Z INFO [69/370] 112c270d-40ab-4a1b-afd9-c64e229e5870: 17 groups; 17.7 s; peak memory 271 MiB.
2026-09-23T19:28:23Z INFO [70/370] 112c2c0e-4543-48a0-ac0b-d028c638d19d: 78 groups; 6.9 s; peak memory 271 MiB.
2026-09-23T19:28:25Z INFO [71/370] 112cb808-7090-43a4-9acb-478af07d470f: 33 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:28:26Z INFO [72/370] 112cf70d-48b3-4a58-984f-e0207e27d5cc: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:28:28Z INFO [73/370] 112d3ed8-fbe0-4449-a47b-875fdee36532: 25 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:28:31Z INFO [74/370] 112d6300-c2c5-4d28-bdef-49835ca451ae: 64 groups; 3.5 s; peak memory 271 MiB.
2026-09-23T19:28:33Z INFO [75/370] 112d7099-1f02-476a-9626-7399e12a0e2c: 16 groups; 1.2 s; peak memory 271 MiB.
2026-09-23T19:28:34Z INFO [76/370] 112e5735-800d-4092-9fb4-a1866b19e945: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:28:35Z INFO [77/370] 112e5ca6-6fb6-445e-8824-6fb399da9ccc: 22 groups; 1.4 s; peak memory 271 MiB.
2026-09-23T19:30:59Z INFO [78/370] 112f0c31-81a7-4eb7-9f55-9d95fea946b2: 71 groups; 143.6 s; peak memory 271 MiB.
2026-09-23T19:31:01Z INFO [79/370] 1130bd5f-9257-473e-9fba-5a4158faa973: 199 groups; 2.3 s; peak memory 271 MiB.
2026-09-23T19:31:04Z INFO [80/370] 1130ed04-d1cf-4b09-9a8f-c80d356b2656: 43 groups; 2.4 s; peak memory 271 MiB.
2026-09-23T19:31:05Z INFO [81/370] 11332d78-9020-4ba7-89e8-1dade6eaab49: 16 groups; 1.2 s; peak memory 271 MiB.
2026-09-23T19:31:09Z INFO [82/370] 11339d80-72df-4be1-acbb-f7f9f33c5ea2: 52 groups; 4.3 s; peak memory 271 MiB.
2026-09-23T19:31:11Z INFO [83/370] 1133b01e-6c09-403d-b137-f48fe18124f8: 32 groups; 1.8 s; peak memory 271 MiB.
2026-09-23T19:31:14Z INFO [84/370] 1134b1bf-3eb9-45d5-acf7-c16ea6551f73: 35 groups; 2.7 s; peak memory 271 MiB.
2026-09-23T19:31:16Z INFO [85/370] 1134ba22-48ff-456a-a4a2-89d9a934dadf: 35 groups; 2.3 s; peak memory 271 MiB.
2026-09-23T19:31:18Z INFO [86/370] 113584a5-80f8-494e-93e1-d4a47dee2456: 18 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:31:19Z INFO [87/370] 113684a7-6e89-4094-9104-af9952b1162f: 16 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:31:21Z INFO [88/370] 1136a9a4-2443-4f64-9526-d8d55999403a: 35 groups; 2.1 s; peak memory 271 MiB.
2026-09-23T19:31:27Z INFO [89/370] 1136bb64-4d82-46b0-af21-ea9d5041cf35: 291 groups; 5.8 s; peak memory 271 MiB.
2026-09-23T19:31:29Z INFO [90/370] 1137a66f-18d5-47a4-89a1-5f5925abf855: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:31:30Z INFO [91/370] 1138d4fd-6777-44b4-b69e-5d6c75b28569: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:31:35Z INFO [92/370] 113a3eca-fcd0-4e52-81db-e779766e375e: 100 groups; 5.0 s; peak memory 271 MiB.
2026-09-23T19:31:36Z INFO [93/370] 113a5f8c-2ad5-4c38-ba4b-16572a84d938: 31 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:31:38Z INFO [94/370] 113ab541-ee75-4df7-97ef-4e8af4c0c1f2: 30 groups; 1.7 s; peak memory 271 MiB.
2026-09-23T19:31:40Z INFO [95/370] 113ad38a-4df7-411b-808c-f28c66dc6d07: 22 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:31:41Z INFO [96/370] 113b72cb-937b-4422-b6d2-c578451def2a: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:31:43Z INFO [97/370] 113b9dce-7b96-4968-9ddd-4d4585e53ae4: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:31:44Z INFO [98/370] 113be62e-7929-4650-94f7-3ef4aebcce79: 28 groups; 1.4 s; peak memory 271 MiB.
2026-09-23T19:31:46Z INFO [99/370] 113c8170-0934-487b-befe-713bc3c33ca1: 25 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:31:53Z INFO [100/370] 113c9f79-ea83-48da-a0da-0fe064e20d12: 155 groups; 7.2 s; peak memory 271 MiB.
2026-09-23T19:31:53Z INFO [100/370] 113c9f79-ea83-48da-a0da-0fe064e20d12: checkpointed 55149 records.
2026-09-23T19:31:55Z INFO [101/370] 113cd57e-2b38-4b65-a79d-4c389803f19a: 32 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:31:57Z INFO [102/370] 113d28bf-1978-4453-ad70-470a74422bba: 28 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:32:09Z INFO [103/370] 113e0faa-5bff-46cc-b801-a14ece3088e1: 104 groups; 11.8 s; peak memory 271 MiB.
2026-09-23T19:33:12Z INFO [104/370] 113e8c36-c70a-49ae-8c1a-2bb13d24a133: 26 groups; 63.2 s; peak memory 271 MiB.
2026-09-23T19:33:14Z INFO [105/370] 113ee642-6f75-4419-ab63-e51eb92c95ca: 29 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:33:16Z INFO [106/370] 11404c9f-97d9-4dea-b641-1fe28e785eaf: 206 groups; 2.1 s; peak memory 271 MiB.
2026-09-23T19:33:32Z INFO [107/370] 11405314-abdd-4b76-8a3e-eb6aecc5135e: 26 groups; 16.2 s; peak memory 271 MiB.
2026-09-23T19:33:34Z INFO [108/370] 114109c4-5576-42be-8d19-491c0e397049: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:33:36Z INFO [109/370] 1141fbfb-f13b-4df2-8503-2e91a27af724: 256 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:33:58Z INFO [110/370] 1142f6cd-6d60-49b2-a9e9-e230082b89eb: 27 groups; 22.0 s; peak memory 271 MiB.
2026-09-23T19:34:00Z INFO [111/370] 1142f9e8-b8e0-4457-bb8a-4ea1c65c2142: 32 groups; 1.8 s; peak memory 271 MiB.
2026-09-23T19:34:01Z INFO [112/370] 1142fe0b-a545-4dcb-941b-c5d5dd0235c7: 23 groups; 1.2 s; peak memory 271 MiB.
2026-09-23T19:34:03Z INFO [113/370] 114335f7-8365-41ab-ad9c-6018ef83bb70: 22 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:34:04Z INFO [114/370] 1143b5e0-4ea9-4ed2-80dd-750ab4b55509: 25 groups; 1.8 s; peak memory 271 MiB.
2026-09-23T19:34:06Z INFO [115/370] 11442762-0e9d-4d0d-8f08-41b76510a47d: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:34:09Z INFO [116/370] 114520a1-c6ee-452c-8fdd-744cfcd5785b: 36 groups; 3.0 s; peak memory 271 MiB.
2026-09-23T19:34:31Z INFO [117/370] 11456ed0-5b34-49cc-b031-105939592921: 27 groups; 22.2 s; peak memory 271 MiB.
2026-09-23T19:34:32Z INFO [118/370] 1145d0c1-5d01-4173-a00f-d086bc3a179b: 31 groups; 1.4 s; peak memory 271 MiB.
2026-09-23T19:34:34Z INFO [119/370] 11460355-214b-4b8c-b7cc-71fbff1588e1: 32 groups; 2.1 s; peak memory 271 MiB.
2026-09-23T19:34:36Z INFO [120/370] 1146d6fd-c499-4b37-8f80-70830ff9b659: 253 groups; 1.8 s; peak memory 271 MiB.
2026-09-23T19:34:46Z INFO [121/370] 1146f2d3-4c14-4a48-8db9-077071735053: 118 groups; 10.0 s; peak memory 271 MiB.
2026-09-23T19:34:49Z INFO [122/370] 114757d1-e973-4106-b6d2-ece6437dde27: 35 groups; 2.4 s; peak memory 271 MiB.
2026-09-23T19:34:50Z INFO [123/370] 114779e3-aceb-4810-a368-c8c9693b9be7: 22 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:34:52Z INFO [124/370] 11478520-4825-46fd-ad1d-2e79f077feb9: 35 groups; 2.2 s; peak memory 271 MiB.
2026-09-23T19:34:56Z INFO [125/370] 114832a9-5f14-4f9c-84ff-27cb0069ddca: 48 groups; 3.5 s; peak memory 271 MiB.
2026-09-23T19:34:57Z INFO [126/370] 114969e2-1c67-4412-9966-a9cf82815aba: 30 groups; 1.2 s; peak memory 271 MiB.
2026-09-23T19:35:05Z INFO [127/370] 114a30ee-f373-4b2c-a0e3-9b4b1824ec6e: 139 groups; 7.9 s; peak memory 271 MiB.
2026-09-23T19:35:07Z INFO [128/370] 114ab2ce-eaa4-447c-95b8-e43b7d590d11: 28 groups; 1.7 s; peak memory 271 MiB.
2026-09-23T19:35:09Z INFO [129/370] 114afb88-a128-4b52-aa93-8e1fbe7d9b57: 32 groups; 2.1 s; peak memory 271 MiB.
2026-09-23T19:35:26Z INFO [130/370] 114b473f-4039-4ca4-b3b0-435b15b7372c: 26 groups; 17.6 s; peak memory 271 MiB.
2026-09-23T19:35:29Z INFO [131/370] 114ba2fb-e1b0-4bbb-a088-b2a307079407: 22 groups; 2.6 s; peak memory 271 MiB.
2026-09-23T19:35:36Z INFO [132/370] 114c464e-f942-44f4-8dec-ef3c480815b1: 118 groups; 7.2 s; peak memory 271 MiB.
2026-09-23T19:35:38Z INFO [133/370] 114c6513-f978-4930-884f-77a2c26f960d: 22 groups; 1.4 s; peak memory 271 MiB.
2026-09-23T19:35:43Z INFO [134/370] 114c7e99-5858-4608-9469-bcd8348d8933: 54 groups; 5.1 s; peak memory 271 MiB.
2026-09-23T19:35:46Z INFO [135/370] 114c809b-8d69-45bf-9aab-0762f783ab75: 48 groups; 3.7 s; peak memory 271 MiB.
2026-09-23T19:35:49Z INFO [136/370] 114de751-01bb-4bef-9b0a-2e0ab6bf2c62: 31 groups; 2.4 s; peak memory 271 MiB.
2026-09-23T19:35:51Z INFO [137/370] 114e41aa-4d3b-4807-b6d4-ffbb7f779f96: 35 groups; 2.1 s; peak memory 271 MiB.
2026-09-23T19:35:52Z INFO [138/370] 114f62d4-bb1a-4f54-9e09-91250185d9be: 24 groups; 1.2 s; peak memory 271 MiB.
2026-09-23T19:35:54Z INFO [139/370] 114f65cc-12ef-4c4b-a1c8-4c5d18191e9d: 35 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:35:56Z INFO [140/370] 11509c07-8d7c-4f1c-89a7-be458dbab909: 256 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:35:57Z INFO [141/370] 11536767-73da-4041-a0d4-1104d8ed395c: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:35:59Z INFO [142/370] 1153bd82-ac32-45f0-9e2b-056034bb4ed7: 26 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:36:01Z INFO [143/370] 1153e014-fa5e-4dea-bb68-d08538c35923: 22 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:36:02Z INFO [144/370] 11540b90-7b4a-46bf-8fed-3ee910d2e11d: 22 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:36:04Z INFO [145/370] 11554ed8-8110-42f8-a221-91d6c77b36d5: 22 groups; 1.7 s; peak memory 271 MiB.
2026-09-23T19:36:05Z INFO [146/370] 11561752-c1d5-4577-a599-c4323546f151: 22 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:36:09Z INFO [147/370] 115629f2-88c8-40c5-8d0a-ae7753022aee: 47 groups; 3.5 s; peak memory 271 MiB.
2026-09-23T19:36:11Z INFO [148/370] 115729c9-1608-4365-bc60-1b763c5cecc8: 32 groups; 1.6 s; peak memory 271 MiB.
2026-09-23T19:36:12Z INFO [149/370] 1157395f-7df7-4599-96e9-5c9515f46039: 28 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:36:14Z INFO [150/370] 1157a182-1fef-4069-8ea6-36948293342a: 35 groups; 2.3 s; peak memory 271 MiB.
2026-09-23T19:36:14Z INFO [150/370] 1157a182-1fef-4069-8ea6-36948293342a: checkpointed 55199 records.
2026-09-23T19:36:16Z INFO [151/370] 1157cbf6-5cc9-4518-8112-28a6d9c830ee: 27 groups; 2.0 s; peak memory 271 MiB.
2026-09-23T19:36:19Z INFO [152/370] 1157f7f8-c5de-4698-a26f-aaf29d410e78: 200 groups; 2.4 s; peak memory 271 MiB.
2026-09-23T19:36:31Z INFO [153/370] 1158bb7b-769a-4f15-85be-6cb204a9a663: 80 groups; 11.8 s; peak memory 271 MiB.
2026-09-23T19:36:32Z INFO [154/370] 11596081-0863-49ad-87c4-4436233caf78: 32 groups; 1.5 s; peak memory 271 MiB.
2026-09-23T19:36:56Z INFO [155/370] 115a6769-135c-41f8-82b3-44312a41285b: 215 groups; 23.3 s; peak memory 271 MiB.
2026-09-23T19:36:57Z INFO [156/370] 115b1568-9f8f-471b-8eea-5c4c58957f66: 22 groups; 1.4 s; peak memory 271 MiB.
2026-09-23T19:36:58Z INFO [157/370] 115b488c-c296-4a37-89e7-70ac972ce00d: 30 groups; 1.3 s; peak memory 271 MiB.
2026-09-23T19:37:12Z INFO [158/370] 115bb519-5535-4d32-aaff-d83c3f43195a: 171 groups; 14.0 s; peak memory 271 MiB.
