2026-09-22T22:27:42Z INFO Logging to /tmp/logs/update_2026-09-22T22-27-42Z.log.
2026-09-22T22:27:42Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-22T22:27:42Z INFO Processing 351 items (54326 already recorded).
2026-09-22T23:07:34Z INFO [162/351] 0fda52b4-917e-4a71-8602-25995f5d3c92: 16 groups; 0.5 s; peak memory 1101 MiB.
2026-09-22T23:07:35Z INFO [163/351] 0fda8ad8-0e33-4012-a78d-30cf107f8876: 32 groups; 0.7 s; peak memory 1101 MiB.
2026-09-22T23:07:36Z INFO [164/351] 0fdabba0-c0ba-40f5-b61c-f15654baa1ba: 22 groups; 0.8 s; peak memory 1101 MiB.
2026-09-22T23:07:36Z INFO [165/351] 0fdace26-68e7-4065-bda6-c5a8eebcc971: 32 groups; 0.9 s; peak memory 1101 MiB.
2026-09-22T23:07:42Z INFO [166/351] 0fdc7727-555b-4938-b7d1-fc65da880352: 34 groups; 5.4 s; peak memory 1101 MiB.
2026-09-22T23:07:44Z INFO [167/351] 0fdd41b0-ea0a-40af-bc1e-7ed8b3d9f2e5: 48 groups; 1.8 s; peak memory 1101 MiB.
2026-09-22T23:07:45Z INFO [168/351] 0fdd80b8-26b9-4cef-bf1e-086eba8bce6e: 48 groups; 1.5 s; peak memory 1101 MiB.
2026-09-22T23:07:47Z INFO [169/351] 0fde19e9-5ed1-41b7-95d6-1cae9897ec52: 576 groups; 1.4 s; peak memory 1101 MiB.
2026-09-22T23:07:47Z INFO [170/351] 0fdeeff2-aed4-431b-9148-420c224a8a5f: 22 groups; 0.7 s; peak memory 1101 MiB.
2026-09-22T23:07:48Z INFO [171/351] 0fdf2f31-5d15-4c0c-9484-b1430d717d54: 32 groups; 0.7 s; peak memory 1101 MiB.
2026-09-22T23:07:49Z INFO [172/351] 0fdf7e4e-8b66-4d90-aebe-e7caccdb61eb: 35 groups; 0.9 s; peak memory 1101 MiB.
2026-09-22T23:07:50Z INFO [173/351] 0fe05f64-6d2d-43f8-b463-6809b474c57e: 48 groups; 1.4 s; peak memory 1101 MiB.
2026-09-22T23:07:52Z INFO [174/351] 0fe078fb-a1df-48ab-bb3b-5a174d067afa: 199 groups; 1.3 s; peak memory 1101 MiB.
2026-09-22T23:07:52Z INFO [175/351] 0fe0a278-8a08-4a1a-8ae7-b5f3748fcfb2: 22 groups; 0.8 s; peak memory 1101 MiB.
