2026-09-25T19:48:18Z INFO Logging to /tmp/logs/update_2026-09-25T19-48-18Z.log.
2026-09-25T19:48:18Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T19:48:18Z INFO Processing 367 items (57291 already recorded).
2026-09-25T19:49:26Z INFO [15/367] 159a7da1-4da1-4105-b986-de9c5c39bc41: 181 groups; 7.1 s; peak memory 147 MiB.
2026-09-25T19:49:28Z INFO [16/367] 159a951c-d5db-430f-9327-3ca255bbc77f: 32 groups; 1.8 s; peak memory 147 MiB.
2026-09-25T19:49:45Z INFO [17/367] 159b184d-49ea-4235-80a9-7f95deb353e2: 66 groups; 16.7 s; peak memory 167 MiB.
2026-09-25T19:49:46Z INFO [18/367] 159b6ba4-a880-4bfa-ae68-91a21238fd8a: 31 groups; 1.6 s; peak memory 167 MiB.
2026-09-25T19:49:48Z INFO [19/367] 159c92a3-ff0d-48eb-86ac-b33fa30ea040: 22 groups; 1.6 s; peak memory 167 MiB.
2026-09-25T19:49:50Z INFO [20/367] 159d0acd-df87-4165-bba9-f26cabf1adae: 27 groups; 2.0 s; peak memory 167 MiB.
2026-09-25T19:49:52Z INFO [21/367] 159e9c6f-160d-48b8-bc01-193d7fe802ad: 29 groups; 1.9 s; peak memory 167 MiB.
2026-09-25T19:49:53Z INFO [22/367] 159f7d90-c1c6-4f03-a1a2-12e84aa0937a: 22 groups; 1.4 s; peak memory 167 MiB.
2026-09-25T19:50:30Z INFO [23/367] 15a071af-fd6a-4074-b0fe-4ba0531bd7a9: 28 groups; 37.1 s; peak memory 167 MiB.
2026-09-25T19:50:32Z INFO [24/367] 15a15283-744a-488f-88a2-0dd6e7bfb720: 16 groups; 1.2 s; peak memory 167 MiB.
2026-09-25T19:50:48Z INFO [25/367] 15a24609-ce22-4eb2-8158-94c197940917: 88 groups; 16.4 s; peak memory 167 MiB.
2026-09-25T19:50:52Z INFO [26/367] 15a3f4f4-7902-4404-99ec-0d6c6242f44c: 50 groups; 4.1 s; peak memory 167 MiB.
2026-09-25T19:50:54Z INFO [27/367] 15a53634-4019-43d1-8ba7-e9ebc8fcff5f: 32 groups; 1.9 s; peak memory 167 MiB.
2026-09-25T19:50:55Z INFO [28/367] 15a5eba1-bbcf-4a38-8952-bfc24431e72d: 16 groups; 1.2 s; peak memory 167 MiB.
2026-09-25T19:50:57Z INFO [29/367] 15a66a7f-f329-42a5-b548-9afc5fa4a03a: 22 groups; 1.5 s; peak memory 167 MiB.
