2026-09-25T16:00:03Z INFO Logging to /tmp/logs/update_2026-09-25T16-00-03Z.log.
2026-09-25T16:00:03Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T16:00:03Z INFO Processing 381 items (56910 already recorded).
2026-09-25T16:05:10Z INFO [37/381] 14df2362-3b63-4552-ae3d-06d6dfc412c7: 20 groups; 1.2 s; peak memory 399 MiB.
2026-09-25T16:05:12Z INFO [38/381] 14dfac5c-ae92-40ab-b4b3-cc72c4a1d3db: 202 groups; 1.9 s; peak memory 399 MiB.
2026-09-25T16:05:14Z INFO [39/381] 14dfe41a-83c9-4691-857b-972ffd23aebb: 25 groups; 1.6 s; peak memory 399 MiB.
2026-09-25T16:05:16Z INFO [40/381] 14e02bdf-f844-45ba-8dbb-a71e703de9d6: 37 groups; 2.7 s; peak memory 399 MiB.
2026-09-25T16:07:10Z INFO [41/381] 14e0a246-430a-418b-a52a-463cd26631d9: 2028 groups; 113.5 s; peak memory 401 MiB.
2026-09-25T16:07:11Z INFO [42/381] 14e1824d-ffa8-4686-8aac-7a8a411efd44: 32 groups; 1.7 s; peak memory 401 MiB.
2026-09-25T16:07:13Z INFO [43/381] 14e19032-8955-4981-a154-a013e60d7770: 22 groups; 1.4 s; peak memory 401 MiB.
2026-09-25T16:07:23Z INFO [44/381] 14e1f074-a780-499c-9f1a-33223c093499: 49 groups; 10.2 s; peak memory 401 MiB.
2026-09-25T16:07:39Z INFO [45/381] 14e36315-9532-49bf-8949-56a9f89f9aeb: 2139 groups; 16.3 s; peak memory 401 MiB.
2026-09-25T16:07:54Z INFO [46/381] 14e3ba7b-369c-4f98-b35b-5e10bbf23f21: 263 groups; 15.1 s; peak memory 401 MiB.
2026-09-25T16:07:56Z INFO [47/381] 14e3d007-dcc8-4bb2-b6b3-e7c70df77bfb: 22 groups; 1.4 s; peak memory 401 MiB.
2026-09-25T16:07:58Z INFO [48/381] 14e45160-0cd6-49eb-9f08-d8e187b271d7: 32 groups; 1.9 s; peak memory 401 MiB.
