2026-09-18T21:58:54Z INFO Logging to /tmp/logs/update_2026-09-18T21-58-54Z.log.
2026-09-18T21:58:54Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T21:58:54Z INFO Processing 368 items (49901 already recorded).
2026-09-18T21:59:44Z INFO [42/368] 0660ec7d-23c8-474c-b720-b5c0fc78d01b: 32 groups; 0.6 s; peak memory 126 MiB.
2026-09-18T21:59:48Z INFO [43/368] 06619f0a-40a6-401e-853f-7a31f3f096e8: 66 groups; 3.4 s; peak memory 126 MiB.
2026-09-18T21:59:48Z INFO [44/368] 0661b2f2-3fb4-437d-9e9b-66e727a0f45d: 22 groups; 0.6 s; peak memory 126 MiB.
2026-09-18T21:59:50Z INFO [45/368] 0661c340-d589-40bb-ab5d-c225a5c504c3: 55 groups; 1.4 s; peak memory 126 MiB.
2026-09-18T21:59:51Z INFO [46/368] 0661f13e-7eff-4247-aa95-2eae7b0c3960: 206 groups; 1.3 s; peak memory 126 MiB.
2026-09-18T21:59:52Z INFO [47/368] 066263e7-9b25-402b-aa7d-f0458407b1f1: 28 groups; 0.6 s; peak memory 126 MiB.
2026-09-18T21:59:52Z INFO [48/368] 0662a888-4665-4c5f-b2d8-838b3566f9ae: 25 groups; 0.7 s; peak memory 126 MiB.
2026-09-18T21:59:53Z INFO [49/368] 066302da-48a8-4bb6-99ef-073175c3fbff: 25 groups; 0.7 s; peak memory 126 MiB.
2026-09-18T21:59:53Z INFO [50/368] 066333ef-182a-43fa-81fb-88e3b616d707: 16 groups; 0.4 s; peak memory 126 MiB.
2026-09-18T21:59:53Z INFO [50/368] 066333ef-182a-43fa-81fb-88e3b616d707: checkpointed 49951 records.
2026-09-18T21:59:54Z INFO [51/368] 06639d76-dba2-41b8-960e-a7f021ec0264: 22 groups; 0.4 s; peak memory 126 MiB.
2026-09-18T21:59:55Z INFO [52/368] 0664090e-391b-4336-8e54-6cd92ca0346c: 48 groups; 1.4 s; peak memory 126 MiB.
2026-09-18T21:59:56Z INFO [53/368] 0664def5-43fb-4126-81ef-eb5ac37952d4: 252 groups; 0.6 s; peak memory 126 MiB.
2026-09-18T21:59:57Z INFO [54/368] 0665065c-e427-442e-a315-42233a9d6984: 32 groups; 0.8 s; peak memory 126 MiB.
2026-09-18T21:59:58Z INFO [55/368] 06651b7f-133b-43aa-b4ff-c8ccd271b49a: 202 groups; 0.9 s; peak memory 126 MiB.
2026-09-18T22:00:04Z INFO [56/368] 0665772e-6147-4057-85be-8caf934b2975: 209 groups; 5.9 s; peak memory 140 MiB.
2026-09-18T22:00:04Z INFO [57/368] 0666c67b-5338-44f1-a199-0f9fe1341f43: 16 groups; 0.5 s; peak memory 140 MiB.
2026-09-18T22:00:05Z INFO [58/368] 0666f5c2-5991-4cf5-afca-cc7131fd81af: 16 groups; 0.5 s; peak memory 140 MiB.
2026-09-18T22:00:05Z INFO [59/368] 0668b06a-e095-41aa-9a5d-634035f9be47: 32 groups; 0.6 s; peak memory 140 MiB.
2026-09-18T22:00:06Z INFO [60/368] 06696c11-d9c4-4b98-b994-1e0cc198140d: 35 groups; 0.8 s; peak memory 140 MiB.
2026-09-18T22:00:07Z INFO [61/368] 0669daa2-eefb-4ffc-9e52-37fea0a92681: 32 groups; 0.6 s; peak memory 140 MiB.
2026-09-18T22:00:08Z INFO [62/368] 066a734a-f816-4392-aedf-414b4cc0996f: 68 groups; 1.2 s; peak memory 140 MiB.
2026-09-18T22:05:01Z INFO [63/368] 066ae256-4ec2-4da4-a5f2-c8e106beadcd: 35 groups; 292.8 s; peak memory 1082 MiB.
2026-09-18T22:05:01Z INFO [64/368] 066b83e3-abd2-4e8a-92d1-b8852b924095: 17 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:05:10Z INFO [65/368] 066b97ad-c2df-44a8-a5aa-97b88f3f4170: 150 groups; 9.0 s; peak memory 1082 MiB.
2026-09-18T22:05:11Z INFO [66/368] 066ba34d-a0bd-4f6d-90de-1b9decfe64a9: 40 groups; 0.9 s; peak memory 1082 MiB.
