2026-09-20T18:20:33Z INFO Logging to /tmp/logs/update_2026-09-20T18-20-33Z.log.
2026-09-20T18:20:33Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T18:20:33Z INFO Processing 363 items (51767 already recorded).
2026-09-20T18:22:16Z INFO [42/363] 0a413005-4271-4cb0-a1f4-33ffe5d2d7dc: 35 groups; 1.1 s; peak memory 152 MiB.
2026-09-20T18:22:17Z INFO [43/363] 0a4170e6-458e-4516-8394-e44c61d7c5af: 22 groups; 0.9 s; peak memory 152 MiB.
2026-09-20T18:23:40Z INFO [44/363] 0a42a433-dd02-4fb3-a839-47710f124011: 60 groups; 82.5 s; peak memory 270 MiB.
2026-09-20T18:23:42Z INFO [45/363] 0a432cf3-408a-4876-8592-0d31ad575e08: 194 groups; 1.9 s; peak memory 270 MiB.
2026-09-20T18:23:43Z INFO [46/363] 0a44472d-9610-4df2-8831-af43bb5f6a52: 22 groups; 0.9 s; peak memory 270 MiB.
2026-09-20T18:23:43Z INFO [47/363] 0a44865e-c13e-4a9e-b8f3-304dd87406be: 22 groups; 0.7 s; peak memory 270 MiB.
2026-09-20T18:23:44Z INFO [48/363] 0a4493eb-6b5a-4235-a497-0706276e8289: 32 groups; 1.0 s; peak memory 270 MiB.
2026-09-20T18:23:46Z INFO [49/363] 0a44b2c4-8304-4209-8268-ccc756155ce0: 48 groups; 1.7 s; peak memory 270 MiB.
2026-09-20T18:23:47Z INFO [50/363] 0a462b0e-ff18-40a6-a4c6-f9c3bfea73c0: 32 groups; 1.2 s; peak memory 270 MiB.
2026-09-20T18:23:47Z INFO [50/363] 0a462b0e-ff18-40a6-a4c6-f9c3bfea73c0: checkpointed 51817 records.
2026-09-20T18:23:48Z INFO [51/363] 0a46d490-5c46-4d7c-b737-97c0c62d09f0: 22 groups; 0.8 s; peak memory 270 MiB.
2026-09-20T18:23:49Z INFO [52/363] 0a46ecef-ca86-4870-beae-fe161f2b46b4: 29 groups; 1.0 s; peak memory 270 MiB.
2026-09-20T18:23:51Z INFO [53/363] 0a479461-f4ec-424f-a9c9-ccb1627fad4a: 30 groups; 1.6 s; peak memory 270 MiB.
2026-09-20T18:30:09Z INFO [54/363] 0a47aa75-b2ab-4f35-8acf-b1734b22df8a: 46 groups; 378.6 s; peak memory 1123 MiB.
2026-09-20T18:30:20Z INFO [55/363] 0a486592-6b4d-4cd4-a0d7-f3ec3e3a061d: 274 groups; 10.5 s; peak memory 1123 MiB.
2026-09-20T18:30:21Z INFO [56/363] 0a487b28-4673-4a1a-a316-82eb7d51eae1: 25 groups; 0.9 s; peak memory 1123 MiB.
