2026-09-20T21:57:25Z INFO Logging to /tmp/logs/update_2026-09-20T21-57-25Z.log.
2026-09-20T21:57:25Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T21:57:25Z INFO Processing 369 items (52130 already recorded).
2026-09-20T21:59:03Z INFO [22/369] 0b066692-0a42-4c77-bb1a-dd3a53c6a505: 73 groups; 6.7 s; peak memory 150 MiB.
2026-09-20T21:59:15Z INFO [23/369] 0b06e5d8-812b-45bd-8969-50dc710eaac0: 177 groups; 11.3 s; peak memory 150 MiB.
2026-09-20T21:59:16Z INFO [24/369] 0b070d34-b3ce-41b2-afe0-1f7234119de0: 32 groups; 1.7 s; peak memory 150 MiB.
2026-09-20T21:59:18Z INFO [25/369] 0b0743c0-01e9-4af8-aa21-ff9a521a2102: 104 groups; 1.9 s; peak memory 150 MiB.
2026-09-20T21:59:19Z INFO [26/369] 0b07c672-0c3b-42ba-a8f3-ddbc014ce2d4: 22 groups; 1.0 s; peak memory 150 MiB.
2026-09-20T21:59:21Z INFO [27/369] 0b0a1f81-b472-4ae5-aab5-c31502429a51: 32 groups; 1.6 s; peak memory 150 MiB.
2026-09-20T21:59:22Z INFO [28/369] 0b0b7537-2b71-483b-922e-26a4d80aa959: 22 groups; 1.4 s; peak memory 150 MiB.
2026-09-20T21:59:24Z INFO [29/369] 0b0bd7b2-3fa6-4d32-a5eb-8495395da999: 29 groups; 1.7 s; peak memory 150 MiB.
2026-09-20T21:59:25Z INFO [30/369] 0b0bd9a1-6f50-4c90-907c-306fd9187661: 30 groups; 1.3 s; peak memory 150 MiB.
2026-09-20T21:59:27Z INFO [31/369] 0b0c6671-c22e-4613-8cd7-c75f600eceb0: 32 groups; 1.8 s; peak memory 150 MiB.
2026-09-20T21:59:28Z INFO [32/369] 0b0ca92b-dfc9-420c-b29e-ecf1ae5ecad8: 22 groups; 1.3 s; peak memory 150 MiB.
2026-09-20T21:59:29Z INFO [33/369] 0b0d2cc5-42e9-4826-8202-9913dc61933d: 22 groups; 1.2 s; peak memory 150 MiB.
2026-09-20T21:59:31Z INFO [34/369] 0b0dc8fe-6e5b-4933-8da2-ef3de24f6d83: 32 groups; 1.7 s; peak memory 150 MiB.
2026-09-20T21:59:33Z INFO [35/369] 0b0dd946-873a-451c-ae8a-7184d4b911d7: 103 groups; 1.8 s; peak memory 150 MiB.
2026-09-20T21:59:35Z INFO [36/369] 0b0edf71-57f7-4725-856d-722f65502c7a: 33 groups; 2.2 s; peak memory 150 MiB.
2026-09-20T21:59:39Z INFO [37/369] 0b0f4166-271e-414b-be4e-db992084061c: 64 groups; 3.4 s; peak memory 150 MiB.
2026-09-20T21:59:41Z INFO [38/369] 0b108be4-36a3-4958-bb10-b53232fbc0e8: 336 groups; 2.8 s; peak memory 150 MiB.
2026-09-20T21:59:43Z INFO [39/369] 0b111e3f-8262-4c16-ae03-22db6f76a2c8: 22 groups; 1.4 s; peak memory 150 MiB.
2026-09-20T21:59:48Z INFO [40/369] 0b11297d-fad3-4394-9830-fb738400580e: 78 groups; 5.8 s; peak memory 150 MiB.
2026-09-20T21:59:52Z INFO [41/369] 0b11cf19-6b8a-4885-864c-3831252faeeb: 68 groups; 3.0 s; peak memory 150 MiB.
2026-09-20T21:59:54Z INFO [42/369] 0b12375f-9b5f-4c6c-b06c-5c68df38f91d: 33 groups; 2.2 s; peak memory 150 MiB.
2026-09-20T21:59:56Z INFO [43/369] 0b130a84-f9ef-4fa7-b7f8-1316775f8797: 108 groups; 2.2 s; peak memory 150 MiB.
2026-09-20T21:59:58Z INFO [44/369] 0b132fe0-e035-4bc3-8ee8-97922da91591: 35 groups; 2.0 s; peak memory 150 MiB.
2026-09-20T22:00:18Z INFO [45/369] 0b13567f-e19a-4f7a-879b-ef79a1a4e435: 23 groups; 19.7 s; peak memory 150 MiB.
2026-09-20T22:00:19Z INFO [46/369] 0b13b022-ba1f-4d3b-ad99-dc7c00bc83c6: 32 groups; 1.8 s; peak memory 150 MiB.
2026-09-20T22:00:41Z INFO [47/369] 0b13fd06-a888-45d3-ab8d-c462c6d4078f: 303 groups; 22.0 s; peak memory 163 MiB.
2026-09-20T22:00:50Z INFO [48/369] 0b140668-8aef-47bd-984a-57d5dc37fec1: 45 groups; 9.0 s; peak memory 163 MiB.
2026-09-20T22:00:52Z INFO [49/369] 0b140c93-49c9-4815-ad98-a47e04df9969: 32 groups; 1.8 s; peak memory 163 MiB.
2026-09-20T22:01:05Z INFO [50/369] 0b144ccd-9078-4bae-abb8-c58784bffaca: 199 groups; 12.9 s; peak memory 163 MiB.
2026-09-20T22:01:05Z INFO [50/369] 0b144ccd-9078-4bae-abb8-c58784bffaca: checkpointed 52180 records.
2026-09-20T22:01:07Z INFO [51/369] 0b14a359-d461-4b79-a076-04fda88e2892: 32 groups; 1.7 s; peak memory 163 MiB.
2026-09-20T22:01:09Z INFO [52/369] 0b153acc-e280-4929-9436-20d76beff624: 253 groups; 1.8 s; peak memory 163 MiB.
2026-09-20T22:01:31Z INFO [53/369] 0b153bdd-926e-41ee-b193-9621feefcea2: 23 groups; 22.0 s; peak memory 163 MiB.
2026-09-20T22:01:33Z INFO [54/369] 0b168f2a-3ba4-4292-99d2-e4ea750ee6bb: 32 groups; 1.8 s; peak memory 163 MiB.
2026-09-20T22:01:34Z INFO [55/369] 0b170191-8357-4511-bb30-96428a1f3717: 22 groups; 1.4 s; peak memory 163 MiB.
2026-09-20T22:02:00Z INFO [56/369] 0b1737ed-bdd4-48d0-b0df-5daf258a171b: 311 groups; 25.9 s; peak memory 163 MiB.
2026-09-20T22:02:02Z INFO [57/369] 0b1751d9-c838-45e0-bcd7-00b485df86cb: 32 groups; 1.7 s; peak memory 163 MiB.
2026-09-20T22:02:10Z INFO [58/369] 0b17d3eb-7c09-4746-8039-460fd8899511: 181 groups; 8.3 s; peak memory 163 MiB.
2026-09-20T22:02:17Z INFO [59/369] 0b1915eb-ea6c-4bc7-8110-b235ad1ac4c3: 177 groups; 7.5 s; peak memory 163 MiB.
2026-09-20T22:02:28Z INFO [60/369] 0b1918db-80bd-4295-ae37-1b07e7f952e2: 191 groups; 11.0 s; peak memory 163 MiB.
2026-09-20T22:02:30Z INFO [61/369] 0b195e2a-f0a1-4078-b28c-4f38c40081a1: 22 groups; 1.4 s; peak memory 163 MiB.
2026-09-20T22:02:32Z INFO [62/369] 0b19f873-f537-4388-87bf-ee8622c0e4b5: 195 groups; 2.0 s; peak memory 163 MiB.
2026-09-20T22:02:35Z INFO [63/369] 0b1a420d-17c3-410d-aba1-89fd9d46f36a: 336 groups; 3.2 s; peak memory 163 MiB.
