2026-09-18T15:15:15Z INFO Logging to /tmp/logs/update_2026-09-18T15-15-15Z.log.
2026-09-18T15:15:15Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T15:15:15Z INFO Processing 374 items (49152 already recorded).
2026-09-18T15:17:07Z INFO [41/374] 04cfcee1-25bc-487b-aa97-c58435632eaa: 22 groups; 0.6 s; peak memory 153 MiB.
2026-09-18T15:17:10Z INFO [42/374] 04cff2cf-1bc2-4979-b725-03b30ccafe5b: 73 groups; 3.3 s; peak memory 153 MiB.
2026-09-18T15:17:28Z INFO [43/374] 04d15b81-ffdf-40a1-8d14-c2c727393219: 974 groups; 17.7 s; peak memory 183 MiB.
2026-09-18T15:17:29Z INFO [44/374] 04d37eca-c836-49d0-9384-697a7a78adc7: 32 groups; 0.7 s; peak memory 183 MiB.
2026-09-18T15:17:29Z INFO [45/374] 04d381be-2b99-47e2-bbc5-ccf589079750: 22 groups; 0.7 s; peak memory 183 MiB.
2026-09-18T15:17:30Z INFO [46/374] 04d3cd83-6508-47d3-8f0d-a19c87827f81: 99 groups; 1.0 s; peak memory 183 MiB.
2026-09-18T15:17:31Z INFO [47/374] 04d84bb5-c2ae-4171-b16c-a037108f9860: 17 groups; 0.5 s; peak memory 183 MiB.
2026-09-18T15:20:05Z INFO [48/374] 04d89014-425a-4f6e-8dfa-0081a882e9ce: 75 groups; 154.5 s; peak memory 402 MiB.
2026-09-18T15:20:07Z INFO [49/374] 04d897bc-85b7-430d-9b61-9f917bc1c12d: 72 groups; 1.6 s; peak memory 402 MiB.
2026-09-18T15:20:08Z INFO [50/374] 04d8ca1b-d1a8-4b60-b9ab-f38c774f3fe4: 35 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:20:08Z INFO [50/374] 04d8ca1b-d1a8-4b60-b9ab-f38c774f3fe4: checkpointed 49202 records.
2026-09-18T15:20:09Z INFO [51/374] 04d8f136-6cac-420b-b929-52bf8d350972: 35 groups; 1.0 s; peak memory 402 MiB.
2026-09-18T15:20:12Z INFO [52/374] 04da2b67-547e-4b74-971f-a1ce4a0f4f52: 78 groups; 3.5 s; peak memory 402 MiB.
2026-09-18T15:20:13Z INFO [53/374] 04daa83f-5811-4ecf-a29d-ff9dd8157394: 33 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:20:14Z INFO [54/374] 04daef77-1e02-453a-826d-73cf10415ecc: 34 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:20:19Z INFO [55/374] 04db3464-54d3-40bc-8e8e-6add83e7af02: 36 groups; 5.6 s; peak memory 402 MiB.
2026-09-18T15:20:21Z INFO [56/374] 04dbafa1-9d99-477a-81c7-9d50cbbcacb9: 35 groups; 1.2 s; peak memory 402 MiB.
2026-09-18T15:20:21Z INFO [57/374] 04dc43e5-fb1b-4888-bcd2-b5f1d6a65af2: 31 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:20:22Z INFO [58/374] 04dc888b-f7ca-4a43-88f0-00fa3478c249: 32 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:20:23Z INFO [59/374] 04dd1a97-e6a2-4aa0-a746-15fe52c95607: 35 groups; 0.9 s; peak memory 402 MiB.
2026-09-18T15:20:26Z INFO [60/374] 04ddfe52-99f4-45e0-9feb-3abac4db59dc: 73 groups; 3.4 s; peak memory 402 MiB.
2026-09-18T15:20:27Z INFO [61/374] 04e0ec7f-51f4-44ce-baff-893a69a0ce47: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:20:28Z INFO [62/374] 04e19bcb-be0a-4790-8e0f-400c521fe08e: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:20:28Z INFO [63/374] 04e24594-3c4c-449f-90ba-e9d32e652c3d: 16 groups; 0.4 s; peak memory 402 MiB.
2026-09-18T15:20:32Z INFO [64/374] 04e2ccde-7401-4e56-acb6-e3be4abf9a9b: 85 groups; 3.9 s; peak memory 402 MiB.
