2026-09-24T15:58:39Z INFO Logging to /tmp/logs/update_2026-09-24T15-58-39Z.log.
2026-09-24T15:58:39Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-24T15:58:39Z INFO Processing 371 items (55798 already recorded).
2026-09-24T16:02:35Z INFO [41/371] 1292d6c6-7ddc-442e-8dde-7b3d5235a3de: 35 groups; 1.3 s; peak memory 214 MiB.
2026-09-24T16:02:36Z INFO [42/371] 1292d6f5-5233-4410-86b0-e264efd93419: 33 groups; 1.4 s; peak memory 214 MiB.
2026-09-24T16:02:38Z INFO [43/371] 1292e86b-d3f9-4339-8db1-2d4f32991cb5: 32 groups; 1.2 s; peak memory 214 MiB.
2026-09-24T16:02:40Z INFO [44/371] 12937b49-7e20-4f1d-825c-e1a4c4845eea: 48 groups; 2.3 s; peak memory 215 MiB.
2026-09-24T16:02:41Z INFO [45/371] 129420b8-cc3c-4ee7-bebb-6263b92f417e: 32 groups; 1.5 s; peak memory 215 MiB.
2026-09-24T16:02:43Z INFO [46/371] 1294d09a-25be-4dc7-b1c6-f7de92a05c70: 33 groups; 1.3 s; peak memory 215 MiB.
2026-09-24T16:02:44Z INFO [47/371] 1294d69e-e19d-47b8-80a6-ce816f2df700: 194 groups; 1.3 s; peak memory 215 MiB.
2026-09-24T16:02:45Z INFO [48/371] 12974b9b-d644-4d93-a062-d93f83527331: 16 groups; 0.8 s; peak memory 215 MiB.
2026-09-24T16:02:46Z INFO [49/371] 129763d1-9fc7-4a67-86ea-ab736d01feaa: 22 groups; 1.1 s; peak memory 215 MiB.
2026-09-24T16:02:48Z INFO [50/371] 129862a4-b096-4c25-aa1f-2ab79ef5ea0b: 36 groups; 1.6 s; peak memory 215 MiB.
2026-09-24T16:02:48Z INFO [50/371] 129862a4-b096-4c25-aa1f-2ab79ef5ea0b: checkpointed 55848 records.
2026-09-24T16:03:26Z INFO [51/371] 12993b3c-8ee6-4f05-a7c9-78bfe1c156b5: 3548 groups; 38.3 s; peak memory 300 MiB.
2026-09-24T16:03:28Z INFO [52/371] 12995456-f6c0-455d-891c-37b9ebcf5cfe: 35 groups; 1.8 s; peak memory 300 MiB.
2026-09-24T16:03:29Z INFO [53/371] 12997001-0b2b-48c0-9385-3b1363974296: 25 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:03:30Z INFO [54/371] 12998c30-8061-474d-8795-91c8761f9eed: 33 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:03:40Z INFO [55/371] 1299e442-2bf9-44e8-96ea-5859793b42a6: 165 groups; 9.4 s; peak memory 300 MiB.
2026-09-24T16:03:41Z INFO [56/371] 129a6037-8f9c-4b9e-8059-69234e3f03ca: 30 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:03:43Z INFO [57/371] 129aad8c-9462-4cec-8135-e2942ac22fc4: 35 groups; 2.0 s; peak memory 300 MiB.
2026-09-24T16:04:02Z INFO [58/371] 129aff73-56eb-4c5e-aa22-f529c53971de: 23 groups; 18.7 s; peak memory 300 MiB.
2026-09-24T16:04:10Z INFO [59/371] 129bb052-13cd-42f5-bf90-9b36bcf03d3c: 200 groups; 8.1 s; peak memory 300 MiB.
2026-09-24T16:04:13Z INFO [60/371] 129bdaf9-15c6-47f9-ac91-d062cb3271c4: 37 groups; 2.3 s; peak memory 300 MiB.
2026-09-24T16:04:14Z INFO [61/371] 129c0f12-95b4-4f59-aa7c-a09a69454b4f: 25 groups; 1.2 s; peak memory 300 MiB.
2026-09-24T16:04:15Z INFO [62/371] 129c8b2a-c7d2-4d75-a1e6-d0778cce4737: 254 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:04:29Z INFO [63/371] 129cb6b3-4257-49a8-8545-c568c75d6ec2: 157 groups; 13.8 s; peak memory 300 MiB.
2026-09-24T16:04:30Z INFO [64/371] 129ccdd9-7656-4bd7-9804-1466256bf597: 22 groups; 1.0 s; peak memory 300 MiB.
2026-09-24T16:04:31Z INFO [65/371] 129d4d0d-25b7-464b-9502-00a13e39051f: 16 groups; 0.9 s; peak memory 300 MiB.
2026-09-24T16:04:44Z INFO [66/371] 129d6ec8-a060-474e-9d8c-a46048964c3d: 222 groups; 13.2 s; peak memory 300 MiB.
2026-09-24T16:04:47Z INFO [67/371] 129de5a2-ac65-4444-abf2-c6ea3e88485a: 71 groups; 2.6 s; peak memory 300 MiB.
2026-09-24T16:04:48Z INFO [68/371] 129e8555-fd09-4fd5-8e72-c4fc25e3def7: 22 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:04:54Z INFO [69/371] 129ee20a-9d75-4606-bfa2-96a9f4c9c6ff: 181 groups; 6.6 s; peak memory 300 MiB.
2026-09-24T16:04:56Z INFO [70/371] 129ee71d-ad3d-435c-8bf2-69a73844dea2: 32 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:04:57Z INFO [71/371] 129f48de-e32f-48ff-8edd-5e2787fe64cf: 30 groups; 1.0 s; peak memory 300 MiB.
2026-09-24T16:04:58Z INFO [72/371] 129f98b1-8839-4be5-84e3-281e7b8635fa: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:04:59Z INFO [73/371] 129fff6a-eb37-495d-b0c6-b5ec86005b58: 32 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:05:01Z INFO [74/371] 12a0186b-397e-405f-9b80-62d99da2a44b: 43 groups; 1.8 s; peak memory 300 MiB.
2026-09-24T16:05:02Z INFO [75/371] 12a132be-1857-4ce2-8cc0-e62b9f6e2b81: 29 groups; 1.0 s; peak memory 300 MiB.
2026-09-24T16:05:04Z INFO [76/371] 12a16410-dec2-4ff2-8797-3237eb565a87: 32 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:05:06Z INFO [77/371] 12a1dadf-6c40-47e7-b944-64f33fa6537d: 195 groups; 2.0 s; peak memory 300 MiB.
2026-09-24T16:05:13Z INFO [78/371] 12a36cde-665f-4088-9acd-23efeeba5f8f: 181 groups; 7.4 s; peak memory 300 MiB.
2026-09-24T16:05:14Z INFO [79/371] 12a4e53a-a249-4319-9c32-dca8010104a3: 103 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:05:16Z INFO [80/371] 12a59932-8949-4623-9420-22721d97941e: 32 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:05:17Z INFO [81/371] 12a64174-df72-4036-858e-088c4c0e1e0e: 32 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:05:19Z INFO [82/371] 12a691e5-e1d4-40c7-bc6b-3c29e774953c: 35 groups; 1.7 s; peak memory 300 MiB.
2026-09-24T16:05:20Z INFO [83/371] 12a8b32c-126b-41a9-b342-1a6378f70fc3: 17 groups; 1.0 s; peak memory 300 MiB.
2026-09-24T16:05:21Z INFO [84/371] 12aa0956-d97b-4891-8db6-77efca1f318a: 255 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:05:31Z INFO [85/371] 12abc2fe-e3df-443c-9e08-a4e3039fabdb: 153 groups; 9.6 s; peak memory 300 MiB.
2026-09-24T16:05:32Z INFO [86/371] 12ac7108-6393-4184-aeb4-d7765865d001: 19 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:05:34Z INFO [87/371] 12acf638-e12c-4aef-97b7-4ff3d550157e: 195 groups; 1.7 s; peak memory 300 MiB.
2026-09-24T16:05:43Z INFO [88/371] 12ae8857-7225-4a8e-b8f7-e86e02e2739c: 123 groups; 9.3 s; peak memory 300 MiB.
