2026-09-26T15:10:48Z INFO Logging to /tmp/logs/update_2026-09-26T15-10-48Z.log.
2026-09-26T15:10:48Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-26T15:10:48Z INFO Processing 384 items (58022 already recorded).
2026-09-26T15:15:22Z INFO [38/384] 1733411d-95fc-48e2-ad3c-c88c4a616fdf: 207 groups; 2.5 s; peak memory 271 MiB.
2026-09-26T15:15:27Z INFO [39/384] 17339942-54df-4bbe-b8b1-414961634e4d: 72 groups; 5.3 s; peak memory 271 MiB.
2026-09-26T15:15:29Z INFO [40/384] 17344193-29ce-49ae-9394-bacbe8e9a369: 107 groups; 1.7 s; peak memory 271 MiB.
2026-09-26T15:15:39Z INFO [41/384] 173444cb-2ed5-4183-b1fe-0f27619b2eac: 123 groups; 9.8 s; peak memory 271 MiB.
2026-09-26T15:15:40Z INFO [42/384] 1734d3dd-c6e7-4ae2-86b6-d5abb5b1a770: 32 groups; 1.4 s; peak memory 271 MiB.
2026-09-26T15:15:42Z INFO [43/384] 1734e4fd-5ff7-46ef-9425-e5e4204ab250: 30 groups; 1.5 s; peak memory 271 MiB.
2026-09-26T15:15:43Z INFO [44/384] 17353a21-fd0b-498a-844e-7ab8b2c9e9c7: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:16:27Z INFO [45/384] 173584ec-0dac-40e2-a40d-e4ea9ea05dc2: 26 groups; 44.4 s; peak memory 271 MiB.
2026-09-26T15:16:29Z INFO [46/384] 17358a6f-54f1-4c86-b6bf-489ea491804e: 195 groups; 1.8 s; peak memory 271 MiB.
2026-09-26T15:16:31Z INFO [47/384] 17358f1d-c00a-4664-83c0-734fc21023ad: 20 groups; 1.4 s; peak memory 271 MiB.
2026-09-26T15:16:32Z INFO [48/384] 1735ab16-6d27-43c2-b53a-735f64a85a00: 29 groups; 1.1 s; peak memory 271 MiB.
2026-09-26T15:16:34Z INFO [49/384] 1735ff13-b985-4c7c-b1f8-a96bd32c1c4a: 43 groups; 2.0 s; peak memory 271 MiB.
2026-09-26T15:16:35Z INFO [50/384] 173635a7-89c4-418a-a457-53241f9f1be7: 32 groups; 1.7 s; peak memory 271 MiB.
2026-09-26T15:16:35Z INFO [50/384] 173635a7-89c4-418a-a457-53241f9f1be7: checkpointed 58072 records.
2026-09-26T15:16:39Z INFO [51/384] 173738bc-35c8-451c-b9c4-ef15df1937f6: 56 groups; 3.8 s; peak memory 271 MiB.
2026-09-26T15:16:41Z INFO [52/384] 1737adef-5dbd-49ff-ad02-683a730ae4ea: 32 groups; 1.5 s; peak memory 271 MiB.
2026-09-26T15:16:42Z INFO [53/384] 1737ae8f-c394-4d73-a87d-2407b5d9b906: 199 groups; 1.6 s; peak memory 271 MiB.
2026-09-26T15:16:44Z INFO [54/384] 1737f622-2fb7-4705-a373-3858055c24fa: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:16:45Z INFO [55/384] 17385c2e-dded-424f-bc26-885c1ba1804d: 32 groups; 1.7 s; peak memory 271 MiB.
2026-09-26T15:16:47Z INFO [56/384] 1738d236-1f53-4cc7-a087-3f3601b367c2: 32 groups; 1.5 s; peak memory 271 MiB.
2026-09-26T15:16:48Z INFO [57/384] 173924d7-69fe-47e3-a2a8-cb74d48f1689: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:16:49Z INFO [58/384] 1739c7c0-7795-44ad-ab52-c4b8f3dcb7d1: 25 groups; 1.3 s; peak memory 271 MiB.
