2026-09-21T21:17:01Z INFO Logging to /tmp/logs/update_2026-09-21T21-17-01Z.log.
2026-09-21T21:17:01Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-21T21:17:01Z INFO Processing 356 items (52866 already recorded).
2026-09-21T21:20:10Z INFO [41/356] 0c96bf7d-c763-4601-bc5d-01c4b3ef101a: 27 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:20:12Z INFO [42/356] 0c96ea05-15c3-4387-b5d9-735c04689f40: 32 groups; 1.3 s; peak memory 212 MiB.
2026-09-21T21:20:12Z INFO [43/356] 0c975e47-fdf6-4ae6-8011-59f1445a8cca: 29 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:20:14Z INFO [44/356] 0c97d371-ec3f-4a9c-a433-c2fd88ad6068: 22 groups; 1.1 s; peak memory 212 MiB.
2026-09-21T21:20:15Z INFO [45/356] 0c992412-8d38-413e-981a-bb7daf8ea8e4: 17 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:21:01Z INFO [46/356] 0c99a0b4-003a-4b91-ac0a-bda9d63d6e92: 157 groups; 46.6 s; peak memory 212 MiB.
2026-09-21T21:21:02Z INFO [47/356] 0c99acec-19ba-4394-83b8-0b913038d95d: 35 groups; 1.2 s; peak memory 212 MiB.
2026-09-21T21:21:04Z INFO [48/356] 0c9a0559-758d-4705-b2d9-831caf3e22c2: 48 groups; 2.0 s; peak memory 212 MiB.
2026-09-21T21:21:05Z INFO [49/356] 0c9b3800-ac4e-4341-addb-7a92573a2b21: 16 groups; 0.8 s; peak memory 212 MiB.
2026-09-21T21:21:07Z INFO [50/356] 0c9b9e53-44d5-4a91-98ac-91d648b0163c: 195 groups; 1.4 s; peak memory 212 MiB.
2026-09-21T21:21:07Z INFO [50/356] 0c9b9e53-44d5-4a91-98ac-91d648b0163c: checkpointed 52916 records.
2026-09-21T21:21:08Z INFO [51/356] 0c9c8dde-fa17-4a78-8cda-c1b7df8779de: 195 groups; 1.7 s; peak memory 212 MiB.
