2026-09-17T15:43:16Z INFO Logging to /tmp/logs/update_2026-09-17T15-43-16Z.log.
2026-09-17T15:43:16Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T15:43:16Z INFO Processing 385 items (48030 already recorded).
2026-09-17T15:46:36Z INFO [58/385] 026da8fc-01fd-4c50-b931-7513bb92e3d5: 35 groups; 1.3 s; peak memory 282 MiB.
2026-09-17T15:46:37Z INFO [59/385] 026ea2d4-80b0-4dfa-87c6-91467b5d7456: 22 groups; 1.0 s; peak memory 282 MiB.
2026-09-17T15:46:38Z INFO [60/385] 026ed2c0-0267-405b-a443-f610055369b3: 32 groups; 1.1 s; peak memory 282 MiB.
2026-09-17T15:46:39Z INFO [61/385] 026edd41-d5c4-4eb9-bce6-aec2b28d3adb: 30 groups; 1.0 s; peak memory 282 MiB.
2026-09-17T15:46:40Z INFO [62/385] 026f2545-e025-438d-a346-5a83ea2623ea: 32 groups; 0.8 s; peak memory 282 MiB.
2026-09-17T15:46:42Z INFO [63/385] 026f8d08-f603-4e70-9471-3b1a17034aec: 17 groups; 2.0 s; peak memory 282 MiB.
2026-09-17T15:46:43Z INFO [64/385] 0270603b-3fb5-40e3-a96a-85e60f4e1baf: 35 groups; 1.2 s; peak memory 282 MiB.
2026-09-17T15:46:45Z INFO [65/385] 027104dc-4a1a-426e-88a0-b0b00153dbb0: 17 groups; 1.9 s; peak memory 282 MiB.
2026-09-17T15:46:46Z INFO [66/385] 02717735-65c6-4ae7-8b49-305d3830a819: 32 groups; 1.1 s; peak memory 282 MiB.
2026-09-17T15:46:48Z INFO [67/385] 02718419-2ed3-4aed-ba52-394f6e32bcd7: 206 groups; 1.8 s; peak memory 282 MiB.
2026-09-17T15:46:49Z INFO [68/385] 0272af92-c8e8-49c5-8603-fe47a19522bb: 87 groups; 0.9 s; peak memory 282 MiB.
2026-09-17T15:46:50Z INFO [69/385] 02732f18-5297-49be-9cdb-5ec2e5b3b8b4: 47 groups; 1.1 s; peak memory 282 MiB.
2026-09-17T15:46:51Z INFO [70/385] 027397dd-2162-47ac-9f65-0ddfd6b69879: 195 groups; 1.0 s; peak memory 282 MiB.
2026-09-17T15:46:51Z INFO [71/385] 02740701-1f67-45e0-b2a4-a7cbe7e62464: 32 groups; 0.8 s; peak memory 282 MiB.
2026-09-17T15:46:53Z INFO [72/385] 02743f50-6873-4dc0-b940-b80dc244fbe9: 35 groups; 1.3 s; peak memory 282 MiB.
2026-09-17T15:46:54Z INFO [73/385] 0275742a-fb13-4fd0-9feb-48a961e8ef61: 31 groups; 0.8 s; peak memory 282 MiB.
2026-09-17T15:46:55Z INFO [74/385] 02757e50-e816-4a32-a8ef-3952a3ec217c: 44 groups; 0.9 s; peak memory 282 MiB.
2026-09-17T15:47:03Z INFO [75/385] 0275dffb-2b13-4531-95aa-7d40f528b451: 56 groups; 8.1 s; peak memory 282 MiB.
2026-09-17T15:47:06Z INFO [76/385] 02777391-5056-4835-a6d1-b32817d184ca: 78 groups; 3.7 s; peak memory 282 MiB.
2026-09-17T15:47:07Z INFO [77/385] 0277c3fb-65b1-447b-b711-518f85f30f7d: 22 groups; 0.8 s; peak memory 282 MiB.
2026-09-17T15:47:08Z INFO [78/385] 0277f95e-dd03-4740-a987-14a28bd7752f: 22 groups; 1.0 s; peak memory 282 MiB.
2026-09-17T15:47:09Z INFO [79/385] 0277fd86-ed3f-4d1e-b0be-2300df8d0398: 67 groups; 1.1 s; peak memory 282 MiB.
2026-09-17T15:47:10Z INFO [80/385] 0278b8b4-9f79-49e9-918e-e4bd0a99f2c9: 28 groups; 0.8 s; peak memory 282 MiB.
2026-09-17T15:47:11Z INFO [81/385] 0278c933-c33d-4ac9-9f3a-14be8ec1ac1e: 31 groups; 0.7 s; peak memory 282 MiB.
2026-09-17T15:47:13Z INFO [82/385] 02796435-95b1-463b-b902-dc06bc9be988: 48 groups; 2.1 s; peak memory 282 MiB.
2026-09-17T15:47:14Z INFO [83/385] 02797d31-e8ef-481d-9149-2b81d191d1c0: 32 groups; 1.1 s; peak memory 282 MiB.
2026-09-17T15:47:15Z INFO [84/385] 027982cc-b57a-436c-a634-131180f11c2e: 22 groups; 0.9 s; peak memory 282 MiB.
2026-09-17T15:47:16Z INFO [85/385] 0279a7b7-9dc4-4d21-bf27-f03462f56851: 29 groups; 1.3 s; peak memory 282 MiB.
2026-09-17T15:47:21Z INFO [86/385] 0279dca2-9cb3-44ba-8483-5c377e21acac: 59 groups; 4.4 s; peak memory 282 MiB.
2026-09-17T15:47:21Z INFO [87/385] 027a144b-972f-4180-896b-734131520208: 32 groups; 0.9 s; peak memory 282 MiB.
2026-09-17T15:47:23Z INFO [88/385] 027a7730-53ff-4421-8ef0-a2d633d65e25: 104 groups; 1.4 s; peak memory 282 MiB.
2026-09-17T15:47:24Z INFO [89/385] 027adeb8-c4b7-427b-a077-7324df21255d: 35 groups; 1.4 s; peak memory 282 MiB.
2026-09-17T15:47:29Z INFO [90/385] 027b10c9-78fd-4aa7-ab67-81482fe1c215: 105 groups; 4.7 s; peak memory 282 MiB.
2026-09-17T15:47:31Z INFO [91/385] 027d699e-242e-4213-b29f-f1ef09dd2f58: 207 groups; 1.7 s; peak memory 282 MiB.
2026-09-17T15:47:35Z INFO [92/385] 027dce51-df65-498c-9e04-3f842e8c4418: 66 groups; 4.7 s; peak memory 282 MiB.
2026-09-17T15:47:36Z INFO [93/385] 027f323e-e5aa-4fc9-8325-1a0801c471a7: 32 groups; 1.1 s; peak memory 282 MiB.
2026-09-17T15:47:37Z INFO [94/385] 02806552-1931-4326-9b41-78b57b043661: 22 groups; 0.8 s; peak memory 282 MiB.
2026-09-17T15:47:38Z INFO [95/385] 028065d0-64d8-4609-99ec-92b978434b87: 32 groups; 1.0 s; peak memory 282 MiB.
2026-09-17T15:47:39Z INFO [96/385] 02815e50-4d08-47c5-b2dc-c962bef41956: 22 groups; 0.8 s; peak memory 282 MiB.
2026-09-17T15:47:40Z INFO [97/385] 0281843e-d70d-48fa-9fd4-31d528791927: 16 groups; 0.6 s; peak memory 282 MiB.
2026-09-17T15:47:41Z INFO [98/385] 02822f47-95be-4b3a-aac2-e1f86eccb6d0: 22 groups; 0.8 s; peak memory 282 MiB.
2026-09-17T15:47:41Z INFO [99/385] 02824bdd-446c-4ed9-bd3c-a3a17c926ca0: 28 groups; 0.9 s; peak memory 282 MiB.
2026-09-17T15:47:42Z INFO [100/385] 02829433-4773-404a-9d2e-32d2e45cd77a: 32 groups; 1.0 s; peak memory 282 MiB.
2026-09-17T15:47:43Z INFO [100/385] 02829433-4773-404a-9d2e-32d2e45cd77a: checkpointed 48130 records.
2026-09-17T15:47:43Z INFO [101/385] 0282fe98-1eac-49c8-9808-33f9c1aaa00a: 22 groups; 0.8 s; peak memory 282 MiB.
2026-09-17T15:47:45Z INFO [102/385] 02831699-8efa-41a9-aca7-4a7bfcf664cf: 571 groups; 1.8 s; peak memory 282 MiB.
2026-09-17T16:09:21Z INFO [103/385] 0284795a-a1ff-4230-b9ef-4158c57218a8: 9760 groups; 1295.7 s; peak memory 1307 MiB.
2026-09-17T16:09:22Z INFO [104/385] 0284c48e-b45e-403f-ab03-707ed04d6195: 49 groups; 1.2 s; peak memory 1307 MiB.
2026-09-17T16:09:23Z INFO [105/385] 0285844c-4b1b-450f-af5a-d6417ba1cc79: 18 groups; 0.7 s; peak memory 1307 MiB.
2026-09-17T16:09:24Z INFO [106/385] 02874466-b78c-41ae-8487-06726996a7d4: 22 groups; 1.1 s; peak memory 1307 MiB.
2026-09-17T16:09:25Z INFO [107/385] 02878f31-f679-4940-b6e1-5645c2bc461b: 35 groups; 1.5 s; peak memory 1307 MiB.
2026-09-17T16:09:26Z INFO [108/385] 028801d5-ab2d-4a7e-9561-673e12734d37: 32 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:09:27Z INFO [109/385] 0288de74-0668-4073-9ec2-b1be49cd1fe2: 22 groups; 0.8 s; peak memory 1307 MiB.
2026-09-17T16:09:28Z INFO [110/385] 028953a2-2dd4-4a63-ae1f-0b6ef1cfc94e: 33 groups; 1.2 s; peak memory 1307 MiB.
