2026-09-17T19:21:28Z INFO Logging to /tmp/logs/update_2026-09-17T19-21-28Z.log.
2026-09-17T19:21:28Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T19:21:28Z INFO Processing 371 items (48415 already recorded).
2026-09-17T19:27:22Z INFO [77/371] 034337ce-552e-4693-a83c-51edff94dfde: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:27:23Z INFO [78/371] 03439f5b-5ab5-439c-84d4-76c216a1193e: 35 groups; 1.4 s; peak memory 288 MiB.
2026-09-17T19:27:26Z INFO [79/371] 0343e283-6f6b-476b-a17d-cdd0aa50c35b: 48 groups; 2.3 s; peak memory 288 MiB.
2026-09-17T19:27:26Z INFO [80/371] 03445840-960f-4596-bf0a-9a4b4bbb4f13: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:27:28Z INFO [81/371] 03455b72-9749-4c19-87c7-170f51106c83: 43 groups; 1.6 s; peak memory 288 MiB.
2026-09-17T19:27:29Z INFO [82/371] 03458a9e-f0ea-4e95-9c55-75721462acf5: 16 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:27:29Z INFO [83/371] 0345d8a3-a5cc-4dbd-a587-119fa099bb0b: 17 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:27:30Z INFO [84/371] 0345fb05-12ed-4af4-b459-128708850477: 26 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:27:32Z INFO [85/371] 03463604-5296-48a3-9169-c90c6e33cad7: 33 groups; 1.5 s; peak memory 288 MiB.
2026-09-17T19:27:33Z INFO [86/371] 0346ae94-a3ce-4f8a-bc61-d57ef25bd925: 32 groups; 1.0 s; peak memory 288 MiB.
2026-09-17T19:27:34Z INFO [87/371] 03476e20-8bd0-461e-8f65-dd198fdf4fc0: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:27:36Z INFO [88/371] 0348611c-b226-4e37-9a7a-df0669cb1782: 207 groups; 2.0 s; peak memory 288 MiB.
2026-09-17T19:27:37Z INFO [89/371] 0348beb6-a9ca-4c0c-b413-ad8397de3c7d: 35 groups; 1.3 s; peak memory 288 MiB.
2026-09-17T19:27:38Z INFO [90/371] 0348cc8f-2c8e-4bee-910d-f297f822aab0: 32 groups; 1.0 s; peak memory 288 MiB.
2026-09-17T19:27:48Z INFO [91/371] 034990bf-01fe-42f3-b6f1-a9374dcd0066: 165 groups; 9.5 s; peak memory 288 MiB.
2026-09-17T19:27:48Z INFO [92/371] 034a4374-232d-401c-9288-31e5ef206670: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:27:50Z INFO [93/371] 034ad8f1-bf60-41dd-bacd-c9ee2d7c71d0: 35 groups; 1.3 s; peak memory 288 MiB.
2026-09-17T19:27:51Z INFO [94/371] 034b24e2-b699-442d-9625-35dbee1395ef: 22 groups; 1.1 s; peak memory 288 MiB.
2026-09-17T19:27:52Z INFO [95/371] 034b904a-2535-4ebb-b627-0d294caa08fe: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:27:53Z INFO [96/371] 034d5b77-441e-43a2-a04d-6bedd64b3fc3: 32 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:27:53Z INFO [97/371] 034e23ca-affb-43b4-aebe-02162fde2e1f: 25 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:27:54Z INFO [98/371] 034e72c9-7891-4cec-aa2d-7579701e253f: 22 groups; 1.0 s; peak memory 288 MiB.
2026-09-17T19:28:03Z INFO [99/371] 034eb273-1e8a-4410-949e-a6871b2c0e83: 266 groups; 8.4 s; peak memory 288 MiB.
2026-09-17T19:28:04Z INFO [100/371] 034ed842-a008-4d73-a069-caf9d4a462f9: 22 groups; 1.0 s; peak memory 288 MiB.
2026-09-17T19:28:04Z INFO [100/371] 034ed842-a008-4d73-a069-caf9d4a462f9: checkpointed 48515 records.
2026-09-17T19:28:05Z INFO [101/371] 034f70b8-dde7-400e-bf1c-b38c8ea64315: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:28:05Z INFO [102/371] 034f976b-103c-455a-adfd-b202c3142320: 31 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:28:06Z INFO [103/371] 035055d4-b113-430a-bd48-87ab6d55cef5: 17 groups; 0.7 s; peak memory 288 MiB.
2026-09-17T19:28:07Z INFO [104/371] 0350bdf8-0463-49a4-9e14-223b6b99aa54: 195 groups; 1.1 s; peak memory 288 MiB.
2026-09-17T19:28:08Z INFO [105/371] 0350cb7a-ae83-4a02-8bba-48f1d394070d: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:28:09Z INFO [106/371] 03513beb-e6d7-4426-ad0b-8eb6c2d9a3e9: 25 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:28:10Z INFO [107/371] 03522f7c-36a3-47f8-80c3-05315333f89a: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:28:11Z INFO [108/371] 03525e41-fd14-4324-bb75-1151a39a89d0: 254 groups; 1.1 s; peak memory 288 MiB.
2026-09-17T19:28:22Z INFO [109/371] 0353b161-e5c3-4d09-a8f9-2002c88a197b: 205 groups; 10.5 s; peak memory 288 MiB.
2026-09-17T19:28:27Z INFO [110/371] 035407c0-01e5-4282-9881-2a82cb6e0ece: 1198 groups; 5.4 s; peak memory 288 MiB.
2026-09-17T19:28:28Z INFO [111/371] 03541dbd-fdb1-4dc0-b4d5-3c93f12ca306: 32 groups; 1.1 s; peak memory 288 MiB.
2026-09-17T19:28:29Z INFO [112/371] 03553748-7730-479c-99f0-944d400569a3: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:28:30Z INFO [113/371] 0356024c-a95a-4d6c-9553-cef9c890bb6c: 33 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:28:30Z INFO [114/371] 0356e792-4015-459e-85b5-84883cd137c7: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:28:31Z INFO [115/371] 0357d8f4-06f6-47a9-a340-cc12d5160c31: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:28:33Z INFO [116/371] 03584060-6183-4d46-8aef-e03954523b2c: 52 groups; 1.1 s; peak memory 288 MiB.
2026-09-17T19:28:34Z INFO [117/371] 035963d3-35e8-4a3e-ab35-e777ea8f180b: 25 groups; 1.0 s; peak memory 288 MiB.
2026-09-17T19:36:03Z INFO [118/371] 0359ab7f-ead0-4d29-89a3-2d7b222ee960: 34 groups; 449.2 s; peak memory 1095 MiB.
2026-09-17T19:36:04Z INFO [119/371] 035d2ab2-b408-4024-9734-08f4001b6fef: 194 groups; 1.5 s; peak memory 1095 MiB.
2026-09-17T19:36:20Z INFO [120/371] 035d7e09-4b1e-4e55-aba2-0108c0307bda: 184 groups; 16.1 s; peak memory 1095 MiB.
2026-09-17T19:36:21Z INFO [121/371] 035e4100-b31d-46ee-8cf3-cffd1b45bb9b: 17 groups; 0.8 s; peak memory 1095 MiB.
2026-09-17T19:36:22Z INFO [122/371] 035e8698-2903-4745-96d1-cbf452b495a6: 35 groups; 1.1 s; peak memory 1095 MiB.
2026-09-17T19:36:23Z INFO [123/371] 035ea321-9263-492e-bf39-ac90bbc1e076: 26 groups; 1.2 s; peak memory 1095 MiB.
2026-09-17T19:36:25Z INFO [124/371] 035f8da8-c282-4763-acd1-e6e254f65d29: 104 groups; 1.6 s; peak memory 1095 MiB.
2026-09-17T19:36:27Z INFO [125/371] 035fb1c0-567d-4f59-9140-f0d7cdd67882: 200 groups; 1.6 s; peak memory 1095 MiB.
2026-09-17T19:36:28Z INFO [126/371] 035ff603-49ef-41ce-bf8f-38e39f6f0780: 22 groups; 1.0 s; peak memory 1095 MiB.
2026-09-17T19:36:30Z INFO [127/371] 036089c0-5bef-4f09-97b1-bc7e5ddaa441: 48 groups; 2.3 s; peak memory 1095 MiB.
2026-09-17T19:36:31Z INFO [128/371] 0360b7ac-16ea-4852-823d-6525164e418d: 22 groups; 0.8 s; peak memory 1095 MiB.
2026-09-17T19:36:32Z INFO [129/371] 0360e12b-d6c4-4094-bc19-6a125f427d38: 22 groups; 1.0 s; peak memory 1095 MiB.
2026-09-17T19:36:34Z INFO [130/371] 0361752b-de7f-4a93-b272-4e35b9987ed0: 46 groups; 2.0 s; peak memory 1095 MiB.
2026-09-17T19:36:35Z INFO [131/371] 036212a9-0cc2-4b88-af0f-f2ac683244f0: 22 groups; 0.9 s; peak memory 1095 MiB.
2026-09-17T19:36:35Z INFO [132/371] 036217bf-e4b1-433e-8ca7-f2193e63991a: 22 groups; 0.8 s; peak memory 1095 MiB.
2026-09-17T19:36:36Z INFO [133/371] 0362a1f6-e2d0-4115-9d80-477aca7e9258: 25 groups; 1.0 s; peak memory 1095 MiB.
2026-09-17T19:36:38Z INFO [134/371] 0362fbde-a28a-428a-a17c-bfee09afdb6c: 32 groups; 1.2 s; peak memory 1095 MiB.
2026-09-17T19:36:39Z INFO [135/371] 0363223b-f442-47fe-ba10-461f0d59c477: 32 groups; 1.0 s; peak memory 1095 MiB.
2026-09-17T19:36:43Z INFO [136/371] 0363be5b-35e7-48c3-99eb-2114cd2f852d: 139 groups; 4.8 s; peak memory 1095 MiB.
2026-09-17T19:36:45Z INFO [137/371] 03640b7e-7a8d-4421-99d8-3b7ab51d3ff5: 207 groups; 1.2 s; peak memory 1095 MiB.
2026-09-17T19:38:24Z INFO [138/371] 036479ff-b638-4212-9329-6b5454fdc7a7: 60 groups; 99.0 s; peak memory 1095 MiB.
2026-09-17T19:38:29Z INFO [139/371] 03649a8b-8d4d-4ae8-93d3-a7de6d91de8e: 162 groups; 5.7 s; peak memory 1095 MiB.
2026-09-17T19:38:30Z INFO [140/371] 03663897-00d6-4966-8eed-80ffbf7b9ea5: 33 groups; 0.9 s; peak memory 1095 MiB.
2026-09-17T19:38:31Z INFO [141/371] 0366e129-5f82-43db-8a33-33fea8391cb4: 22 groups; 0.7 s; peak memory 1095 MiB.
2026-09-17T19:40:32Z INFO [142/371] 0366fa38-44be-4caa-8366-abf46045e308: 42 groups; 120.9 s; peak memory 1116 MiB.
2026-09-17T19:40:33Z INFO [143/371] 036719e6-8d14-44a8-853b-8b7cd6c94ebd: 202 groups; 1.4 s; peak memory 1116 MiB.
2026-09-17T19:40:34Z INFO [144/371] 036787b8-1205-4ca6-ae07-fa30d6d9ab41: 22 groups; 0.9 s; peak memory 1116 MiB.
2026-09-17T19:40:35Z INFO [145/371] 0367d7ed-5bfe-4f60-b1eb-5fa6b7a33595: 252 groups; 1.0 s; peak memory 1116 MiB.
2026-09-17T19:40:38Z INFO [146/371] 03686970-8ef3-4fe1-b01a-fd5336f55a48: 48 groups; 2.4 s; peak memory 1116 MiB.
2026-09-17T19:40:43Z INFO [147/371] 036886da-2908-4b4d-acc4-4012b20eb69f: 181 groups; 5.1 s; peak memory 1116 MiB.
2026-09-17T19:40:44Z INFO [148/371] 036a6fbe-2be9-4f4b-abe5-22cd936dda6b: 35 groups; 1.1 s; peak memory 1116 MiB.
2026-09-17T19:40:45Z INFO [149/371] 036b84a2-7fb0-4fe5-abe3-0b664f03ea46: 22 groups; 1.0 s; peak memory 1116 MiB.
2026-09-17T19:40:47Z INFO [150/371] 036cb812-7e39-44ed-a7aa-46f6d17f3a92: 50 groups; 2.3 s; peak memory 1116 MiB.
2026-09-17T19:40:47Z INFO [150/371] 036cb812-7e39-44ed-a7aa-46f6d17f3a92: checkpointed 48565 records.
2026-09-17T19:40:48Z INFO [151/371] 036d9166-d206-48d0-84e2-8d0e0e7bde9d: 22 groups; 0.9 s; peak memory 1116 MiB.
2026-09-17T19:40:49Z INFO [152/371] 036ea15c-6a03-4daa-934e-4daf8ac79520: 22 groups; 0.7 s; peak memory 1116 MiB.
2026-09-17T19:40:50Z INFO [153/371] 036eff90-215e-4412-8c74-6089062aa4f8: 22 groups; 0.8 s; peak memory 1116 MiB.
2026-09-17T19:40:50Z INFO [154/371] 037021f4-bd1b-4183-a264-cd79e76aa68e: 22 groups; 0.8 s; peak memory 1116 MiB.
2026-09-17T19:40:53Z INFO [155/371] 03707dbc-8304-479c-88a1-a5b36a8cedde: 27 groups; 2.7 s; peak memory 1116 MiB.
2026-09-17T19:40:54Z INFO [156/371] 03709c6c-40e9-49bd-a214-1eb46261bec9: 32 groups; 1.0 s; peak memory 1116 MiB.
2026-09-17T19:40:55Z INFO [157/371] 0370fc2d-5cb0-4049-bc05-f0f9fcd935e0: 24 groups; 0.6 s; peak memory 1116 MiB.
2026-09-17T19:41:00Z INFO [158/371] 03713bf2-9ef7-4fe2-92e4-f2887fa4bfe5: 34 groups; 5.2 s; peak memory 1116 MiB.
2026-09-17T19:41:01Z INFO [159/371] 0371cdd7-3bf7-45a4-900a-2c90a2541dbd: 87 groups; 1.2 s; peak memory 1116 MiB.
2026-09-17T19:41:02Z INFO [160/371] 0372dbd7-aab3-4eef-9313-41693dae00cb: 24 groups; 1.1 s; peak memory 1116 MiB.
2026-09-17T19:41:03Z INFO [161/371] 0373060e-42f4-48b6-ad0c-5ce065996e9d: 36 groups; 1.1 s; peak memory 1116 MiB.
2026-09-17T19:41:04Z INFO [162/371] 03738ca4-472d-4510-8fc5-d05f1f6c1891: 33 groups; 1.1 s; peak memory 1116 MiB.
2026-09-17T19:41:05Z INFO [163/371] 0373e678-f683-488e-af98-8e4856874447: 22 groups; 0.9 s; peak memory 1116 MiB.
2026-09-17T19:41:06Z INFO [164/371] 03742bde-edac-4f4e-98b2-8a356d10fd35: 22 groups; 0.9 s; peak memory 1116 MiB.
