2026-09-18T18:40:45Z INFO Logging to /tmp/logs/update_2026-09-18T18-40-45Z.log.
2026-09-18T18:40:45Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T18:40:45Z INFO Processing 375 items (49526 already recorded).
2026-09-18T18:42:52Z INFO [42/375] 05a0a69e-70a8-4de7-85a4-6304ccdf3563: 32 groups; 1.1 s; peak memory 201 MiB.
2026-09-18T18:42:56Z INFO [43/375] 05a0b7b9-c1bd-458d-9798-93fa8a8aa595: 181 groups; 3.9 s; peak memory 201 MiB.
2026-09-18T18:42:56Z INFO [44/375] 05a0ee39-4b38-4bcf-8310-86a5982c86de: 22 groups; 0.9 s; peak memory 201 MiB.
2026-09-18T18:42:57Z INFO [45/375] 05a25ab5-f0cf-49bc-a846-4aff5bdd2673: 22 groups; 1.0 s; peak memory 201 MiB.
2026-09-18T18:42:58Z INFO [46/375] 05a29a0d-0cf8-47ba-9a18-654c36ba787b: 22 groups; 0.9 s; peak memory 201 MiB.
2026-09-18T18:42:59Z INFO [47/375] 05a2cdcc-8424-4ae0-a387-15403aa0fd54: 32 groups; 1.1 s; peak memory 201 MiB.
2026-09-18T18:43:00Z INFO [48/375] 05a40dda-6a2d-4bab-8d30-501d837b3923: 22 groups; 0.9 s; peak memory 201 MiB.
2026-09-18T18:43:02Z INFO [49/375] 05a438dc-ce99-4cb4-aa78-f42618447f53: 32 groups; 1.2 s; peak memory 201 MiB.
2026-09-18T18:43:02Z INFO [50/375] 05a54513-16dd-48cf-bd41-d58447365491: 32 groups; 1.0 s; peak memory 201 MiB.
2026-09-18T18:43:03Z INFO [50/375] 05a54513-16dd-48cf-bd41-d58447365491: checkpointed 49576 records.
2026-09-18T18:43:14Z INFO [51/375] 05a5dd5c-333c-45e0-ae9e-cffb94fcc7eb: 244 groups; 11.6 s; peak memory 201 MiB.
2026-09-18T18:43:15Z INFO [52/375] 05a6cb19-8fea-45e2-b8b0-f4b6ff0a4538: 32 groups; 1.2 s; peak memory 201 MiB.
2026-09-18T18:43:17Z INFO [53/375] 05a6d22f-97f9-4867-93b5-c2bec299e417: 17 groups; 1.7 s; peak memory 201 MiB.
2026-09-18T18:43:18Z INFO [54/375] 05a73ef3-9ba7-43d5-8af0-5f74ed1fc541: 22 groups; 0.9 s; peak memory 201 MiB.
2026-09-18T18:43:19Z INFO [55/375] 05a74b0f-7bf7-43f1-99ce-b87ab353336e: 22 groups; 0.8 s; peak memory 201 MiB.
2026-09-18T18:43:20Z INFO [56/375] 05a76531-49a9-402e-80ee-76284cdd97fc: 32 groups; 1.2 s; peak memory 201 MiB.
2026-09-18T18:43:33Z INFO [57/375] 05a82e66-4b4d-4421-a904-748c6ca11a38: 213 groups; 12.5 s; peak memory 201 MiB.
2026-09-18T18:43:34Z INFO [58/375] 05a8d371-6821-4629-9672-81c73f40d132: 35 groups; 1.0 s; peak memory 201 MiB.
2026-09-18T18:43:35Z INFO [59/375] 05a960bd-657d-46fe-a422-b829a8a624c1: 25 groups; 1.0 s; peak memory 201 MiB.
2026-09-18T18:43:37Z INFO [60/375] 05a98e73-5522-4e91-8324-f03120d7eda8: 47 groups; 2.2 s; peak memory 201 MiB.
2026-09-18T18:43:38Z INFO [61/375] 05a9ae09-4c3d-44b3-8be5-f27068fdd854: 22 groups; 0.9 s; peak memory 201 MiB.
2026-09-18T18:43:48Z INFO [62/375] 05a9ec4a-b95b-4648-98ca-c68cba66031f: 338 groups; 9.9 s; peak memory 201 MiB.
2026-09-18T18:43:49Z INFO [63/375] 05aa22f2-d2f5-4c69-a68d-f0ee5dc8f6fd: 202 groups; 1.3 s; peak memory 201 MiB.
2026-09-18T18:43:50Z INFO [64/375] 05aa287a-7a12-405a-a5cf-271bd4acc386: 32 groups; 1.0 s; peak memory 201 MiB.
2026-09-18T18:43:51Z INFO [65/375] 05aa6494-0342-4297-8671-9631520f5b6c: 253 groups; 1.0 s; peak memory 201 MiB.
2026-09-18T18:43:52Z INFO [66/375] 05aac6cf-1b02-414b-897c-f14b4bff29cb: 71 groups; 1.0 s; peak memory 201 MiB.
2026-09-18T18:43:53Z INFO [67/375] 05ab4781-bffd-49a7-baef-ac4e789257a5: 22 groups; 1.0 s; peak memory 201 MiB.
2026-09-18T18:44:01Z INFO [68/375] 05ac8459-fdb4-4951-b750-46113406401d: 174 groups; 8.3 s; peak memory 201 MiB.
2026-09-18T18:44:02Z INFO [69/375] 05acb171-09e1-4394-bfaf-b0828f996a15: 16 groups; 0.7 s; peak memory 201 MiB.
2026-09-18T18:44:03Z INFO [70/375] 05acb20e-69f8-46eb-ad2d-1d14ac886bba: 22 groups; 1.0 s; peak memory 201 MiB.
2026-09-18T18:44:04Z INFO [71/375] 05add16e-2387-4e76-9d3a-3667cf9281a6: 17 groups; 0.9 s; peak memory 201 MiB.
2026-09-18T18:44:06Z INFO [72/375] 05ae2b09-d67d-4f7a-90b6-076d954877ab: 55 groups; 2.0 s; peak memory 201 MiB.
2026-09-18T18:44:07Z INFO [73/375] 05ae9d47-2315-4b36-8f4e-657024d0aaf6: 201 groups; 1.4 s; peak memory 201 MiB.
2026-09-18T18:44:08Z INFO [74/375] 05aebd7d-2516-481e-aad7-dab5325ed098: 22 groups; 0.9 s; peak memory 201 MiB.
2026-09-18T18:44:09Z INFO [75/375] 05afda79-c8b9-409c-a4d1-94c14dee0183: 32 groups; 1.1 s; peak memory 201 MiB.
2026-09-18T18:44:10Z INFO [76/375] 05b07817-d5d3-4a2d-babc-1e84fceef41d: 22 groups; 0.8 s; peak memory 201 MiB.
2026-09-18T18:44:11Z INFO [77/375] 05b20ba1-7181-4980-a8f8-8036b95b91a9: 32 groups; 1.0 s; peak memory 201 MiB.
