2026-09-21T17:14:51Z INFO Logging to /tmp/logs/update_2026-09-21T17-14-51Z.log.
2026-09-21T17:14:51Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-21T17:14:52Z INFO Processing 367 items (52499 already recorded).
2026-09-21T17:16:03Z INFO [19/367] 0bcabc6b-7110-49e5-bf4a-5fcf279f27c3: 201 groups; 1.1 s; peak memory 197 MiB.
2026-09-21T17:16:05Z INFO [20/367] 0bcc3ff1-3109-4980-a980-93244175dc86: 34 groups; 2.5 s; peak memory 197 MiB.
2026-09-21T17:16:06Z INFO [21/367] 0bcc781d-1da7-45bf-b8e2-26028deb4a22: 253 groups; 0.9 s; peak memory 197 MiB.
2026-09-21T17:16:08Z INFO [22/367] 0bcdf64b-04d1-4031-ba0a-52115cfba457: 48 groups; 2.1 s; peak memory 197 MiB.
2026-09-21T17:16:09Z INFO [23/367] 0bce13d4-d38d-47a7-8140-64403104e7b7: 17 groups; 0.7 s; peak memory 197 MiB.
2026-09-21T17:16:10Z INFO [24/367] 0bce704c-2716-46eb-8323-6d481f9d28cf: 194 groups; 1.1 s; peak memory 197 MiB.
2026-09-21T17:16:11Z INFO [25/367] 0bce8b8a-1351-436d-9059-5e5af7133fdf: 18 groups; 0.6 s; peak memory 197 MiB.
2026-09-21T17:16:12Z INFO [26/367] 0bced898-a6cb-4b74-a680-718b5f70ae23: 32 groups; 0.9 s; peak memory 197 MiB.
2026-09-21T17:16:13Z INFO [27/367] 0bcefb1f-b534-4275-ad68-fed0ae35e43e: 22 groups; 0.9 s; peak memory 197 MiB.
2026-09-21T17:16:17Z INFO [28/367] 0bcf3a53-8598-411f-9575-7e0f905c1371: 78 groups; 3.9 s; peak memory 197 MiB.
2026-09-21T17:16:18Z INFO [29/367] 0bcfde87-1431-4b9a-b359-e7d0a4426b34: 200 groups; 1.1 s; peak memory 197 MiB.
2026-09-21T17:16:19Z INFO [30/367] 0bcff009-ec8c-4060-a214-132e66aeda93: 42 groups; 1.2 s; peak memory 197 MiB.
2026-09-21T17:16:20Z INFO [31/367] 0bd0e18d-db46-40db-94e4-6326a019e6c7: 202 groups; 1.3 s; peak memory 197 MiB.
2026-09-21T17:16:21Z INFO [32/367] 0bd172d4-eafc-4575-be62-903787f57485: 22 groups; 0.9 s; peak memory 197 MiB.
2026-09-21T17:16:22Z INFO [33/367] 0bd1fa67-a538-45d6-84eb-2d36abd19471: 32 groups; 1.1 s; peak memory 197 MiB.
2026-09-21T17:16:23Z INFO [34/367] 0bd2bda9-6858-4e94-bfb9-b6758dd0322e: 22 groups; 0.8 s; peak memory 197 MiB.
2026-09-21T17:16:25Z INFO [35/367] 0bd31b03-7918-4150-bda2-087cc8b3e14a: 35 groups; 1.6 s; peak memory 197 MiB.
2026-09-21T17:16:27Z INFO [36/367] 0bd36935-95e5-4e4d-ad1f-39966eaa06b8: 50 groups; 2.2 s; peak memory 197 MiB.
2026-09-21T17:16:28Z INFO [37/367] 0bd40234-a176-4928-94d8-8da531f0f595: 22 groups; 0.8 s; peak memory 197 MiB.
2026-09-21T17:16:29Z INFO [38/367] 0bd4c714-54a7-4037-a340-74930d0b581e: 22 groups; 0.8 s; peak memory 197 MiB.
2026-09-21T17:16:30Z INFO [39/367] 0bd5c22c-21a9-434c-a899-f5f658bb0413: 32 groups; 1.2 s; peak memory 197 MiB.
2026-09-21T17:16:31Z INFO [40/367] 0bd689c6-8085-4f00-848d-55ec8dc3e76f: 103 groups; 1.1 s; peak memory 197 MiB.
2026-09-21T17:16:32Z INFO [41/367] 0bd723d1-19b6-467f-8022-f1dbc32c4b43: 22 groups; 1.0 s; peak memory 197 MiB.
2026-09-21T17:16:34Z INFO [42/367] 0bd774c0-db6d-49a6-86c9-39356ebacc4d: 47 groups; 2.6 s; peak memory 197 MiB.
2026-09-21T17:16:35Z INFO [43/367] 0bd77fbd-e33f-4363-92ef-adfbc104d939: 32 groups; 1.0 s; peak memory 197 MiB.
2026-09-21T17:16:36Z INFO [44/367] 0bd7b8ca-5f3a-4006-a80c-0ccaa10ee260: 22 groups; 0.7 s; peak memory 197 MiB.
2026-09-21T17:16:37Z INFO [45/367] 0bd8a181-8f54-4aa7-beb5-d6c066d7fe19: 21 groups; 1.1 s; peak memory 197 MiB.
2026-09-21T17:16:39Z INFO [46/367] 0bd98929-2cdb-4fc6-a7e4-8eaeac2ea978: 17 groups; 1.8 s; peak memory 197 MiB.
2026-09-21T17:16:40Z INFO [47/367] 0bd9d269-df68-4864-883f-3bcb15551fc7: 40 groups; 1.1 s; peak memory 197 MiB.
2026-09-21T17:16:42Z INFO [48/367] 0bda658b-44e1-440b-b57a-773509d7a5ee: 195 groups; 1.4 s; peak memory 197 MiB.
2026-09-21T17:16:42Z INFO [49/367] 0bda89c4-99a8-47fd-9322-fe4c3af9fce6: 20 groups; 0.8 s; peak memory 197 MiB.
2026-09-21T17:16:59Z INFO [50/367] 0bdb5005-a976-4724-b1d6-8d85d9755053: 23 groups; 16.2 s; peak memory 197 MiB.
2026-09-21T17:16:59Z INFO [50/367] 0bdb5005-a976-4724-b1d6-8d85d9755053: checkpointed 52549 records.
2026-09-21T17:17:00Z INFO [51/367] 0bdb884b-79a5-4290-abc4-9448098db9d1: 32 groups; 1.0 s; peak memory 197 MiB.
2026-09-21T17:17:01Z INFO [52/367] 0bdc44aa-d27a-4935-a3fe-60f302fa798e: 48 groups; 1.2 s; peak memory 197 MiB.
2026-09-21T17:17:03Z INFO [53/367] 0bdc4685-162c-4ede-ae70-5424ca2f549c: 48 groups; 2.3 s; peak memory 197 MiB.
2026-09-21T17:17:04Z INFO [54/367] 0bdd04b3-0270-4289-a8e9-0a50898cf708: 32 groups; 0.8 s; peak memory 197 MiB.
2026-09-21T17:17:05Z INFO [55/367] 0bdd54c4-f1b7-4d4b-8680-693c9077917f: 35 groups; 1.0 s; peak memory 197 MiB.
2026-09-21T17:17:06Z INFO [56/367] 0bde8a3e-7ce7-4e76-a67c-b85b4faed006: 32 groups; 0.9 s; peak memory 197 MiB.
2026-09-21T17:17:07Z INFO [57/367] 0bded34a-db3f-46bf-a4f8-cf8147a4d337: 25 groups; 0.8 s; peak memory 197 MiB.
2026-09-21T17:17:07Z INFO [58/367] 0bdee252-beff-450b-94d2-3551dcbca431: 22 groups; 0.7 s; peak memory 197 MiB.
2026-09-21T17:17:08Z INFO [59/367] 0be04d93-44a9-46bb-b29e-9b2ff36744d9: 32 groups; 0.9 s; peak memory 197 MiB.
2026-09-21T17:17:09Z INFO [60/367] 0be051ee-8a61-4261-9bf4-f469e11fcbe4: 22 groups; 0.7 s; peak memory 197 MiB.
2026-09-21T17:17:10Z INFO [61/367] 0be0746d-3ed4-4bf9-95ed-6aa392c0239b: 22 groups; 0.6 s; peak memory 197 MiB.
2026-09-21T17:17:22Z INFO [62/367] 0be08bea-389a-4daf-a90c-acc311e9a6c0: 240 groups; 12.6 s; peak memory 197 MiB.
2026-09-21T17:17:33Z INFO [63/367] 0be0a808-d09d-466e-ac8b-3de399d48cdc: 18 groups; 11.2 s; peak memory 197 MiB.
2026-09-21T17:17:34Z INFO [64/367] 0be1b660-0217-4bd8-9733-72807129e6a4: 22 groups; 0.9 s; peak memory 197 MiB.
